outcome_type,outcome,dropped_animal,dropped_source_group,n_combined_exposure,n_oxygen_control,combined_exposure_mean,oxygen_control_mean,mean_difference,mean_difference_ci95_low,mean_difference_ci95_high,welch_se,welch_df,cohens_d,exact_permutation_hits,exact_permutation_allocations,exact_permutation_p,perfect_group_separation,sign_matches_full,scenario,attenuation_vs_full_percent
panel,author_selected_isg7,(none),NA,3,3,3.3745643912840535,2.3059907159608053,1.0685736753232482,-1.6383376896954465,3.775485040341943,0.6586055173095163,2.101187557266306,1.3247486233261767,4,20,0.2,FALSE,TRUE,Full cohort,0
panel,author_selected_isg7,C1,Control,3,2,3.3745643912840535,2.339671722485266,1.0348926687987876,-1.5605787999738787,3.630364137571454,0.6721424951959621,2.2599631965734654,1.1125603910747326,NA,NA,NA,FALSE,TRUE,Drop C1,3.1519592239881775
panel,author_selected_isg7,C2,Control,3,2,3.3745643912840535,2.3738896293347085,1.000674761949345,-1.6549870264580546,3.6563365503567447,0.6643402570503205,2.1686145952122136,1.0801222241288868,NA,NA,NA,FALSE,TRUE,Drop C2,6.354163025152522
panel,author_selected_isg7,C3,Control,3,2,3.3745643912840535,2.204410796062442,1.1701535952216116,-1.6175573572651976,3.9578645477084207,0.6513242848766523,2.011055148684957,1.2715414562772422,NA,NA,NA,TRUE,TRUE,Drop C3,-9.506122249140658
panel,author_selected_isg7,S1,Surgery,2,3,3.5120542360128266,2.3059907159608053,1.2060635200520213,-12.28184639845714,14.693973438561184,1.1059637304458767,1.0177030349195118,1.3240536089319446,NA,NA,NA,FALSE,TRUE,Drop S1,-12.866669646075817
panel,author_selected_isg7,S2,Surgery,2,3,3.8563753254301916,2.3059907159608053,1.5503846094693863,-7.362840706509171,10.463609925447944,0.763832976824164,1.0375636234509291,2.4415084774612774,NA,NA,NA,TRUE,TRUE,Drop S2,-45.08916373972886
panel,author_selected_isg7,S3,Surgery,2,3,2.7552636124091423,2.3059907159608053,0.449272896448337,-2.740270183598287,3.638815976494961,0.35953550746368756,1.183980650131992,1.4175006327489885,NA,NA,NA,FALSE,TRUE,Drop S3,57.95583338580468
