omitted_animal,n_combined_exposure,n_oxygen_control,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,scenario_order,scenario,is_full_cohort,fdr_lt_0_05,nes_rank_descending,nes_rank_ascending,absolute_nes_rank
(none),3,3,HALLMARK_ANGIOGENESIS,HALLMARK_ANGIOGENESIS,24,-0.34534825483883846,-1.0893488044489483,0.35080645161290325,0.43850806451612906,0.2584889643463498,1802,"tags=25%, list=14%, signal=22%",Msx1/Ccnd2/Ptk2/Itgav/S100a4/Vegfa,1,Full cohort,TRUE,FALSE,18,33,40
(none),3,3,HALLMARK_PANCREAS_BETA_CELLS,HALLMARK_PANCREAS_BETA_CELLS,17,-0.3621684411964653,-1.0304785165240715,0.4188034188034188,0.5095238095238095,0.3003508771929825,1525,"tags=18%, list=12%, signal=16%",Sec11a/Stxbp1/Srp14,1,Full cohort,TRUE,FALSE,17,34,41
(none),3,3,HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_DN,122,-0.2289283050876948,-1.0082019726309046,0.428,0.5095238095238095,0.3003508771929825,2112,"tags=20%, list=16%, signal=17%",Sri/Cdc42bpa/F3/Cdkn1b/Scaf8/Grk5/Dlc1/Prkce/Spop/Mrps31/Serpine1/Map1b/Sipa1l1/Notch2/Anxa2/Adgrl2/Pmp22/Igf1r/Nfkb1/Smad7/Dyrk1a/Prkca/Tjp1/Pten,1,Full cohort,TRUE,FALSE,16,35,42
(none),3,3,HALLMARK_KRAS_SIGNALING_DN,HALLMARK_KRAS_SIGNALING_DN,92,-0.22729149226750375,-0.9626132243571744,0.52465483234714,0.6100637585431862,0.35961653135177296,2581,"tags=25%, list=20%, signal=20%",Coq8a/Cd80/Ckm/Nr6a1/Prkn/Cpeb3/Sncb/Dtnb/Slc5a5/Edn1/Ccdc106/Slc16a7/Klk8/Synpo/Nr4a2/Copz2/Tent5c/Selenop/Skil/Zbtb16/Igfbp2/Kmt2d/Kcne2,1,Full cohort,TRUE,FALSE,15,36,43
(none),3,3,HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_JUNCTION,149,-0.2091790769798768,-0.9560970395954465,0.5593869731800766,0.6356670149773598,0.37470897724981206,1831,"tags=15%, list=14%, signal=13%",Adam9/Plcg1/Tial1/Itga9/Pik3cb/Ywhah/Myh9/Myl12b/Arhgef6/Vcl/Syk/Jam3/Pecam1/Actb/Ptk2/Epb41l2/Cd86/Tjp1/Sgce/B4galt1/Vcam1/Pten,1,Full cohort,TRUE,FALSE,14,37,44
(none),3,3,HALLMARK_UV_RESPONSE_UP,HALLMARK_UV_RESPONSE_UP,136,-0.2074093524026169,-0.9314561786062006,0.6031434184675835,0.6441156914893617,0.3796892497200448,775,"tags=17%, list=6%, signal=16%",Grina/Ago2/Msx1/Ggh/H2ax/Cebpg/Creg1/Rab27a/Eno2/Lyn/Casp3/Btg1/Ccnd3/Cdkn2b/Atp6v1f/Hspa13/Btg3/Igfbp2/Gch1/Aldoa/Il6/Fosb/Nr4a1,1,Full cohort,TRUE,FALSE,13,38,45
(none),3,3,HALLMARK_PEROXISOME,HALLMARK_PEROXISOME,86,-0.2203234684944195,-0.9253108352330102,0.60546875,0.6441156914893617,0.3796892497200448,3587,"tags=34%, list=27%, signal=25%",Eci2/Sod2/Idh2/Cln8/Atxn1/Hmgcl/Pex2/Slc23a2/Slc25a19/Elovl5/Itgb1bp1/Smarcc1/Ercc1/Idi1/Hsd17b11/Fis1/Abcc5/Cat/Abcb9/Bcl10/Abcd3/Ywhah/Rxrg/Sod1/Pex13/Scp2/Fads1/Top2a/Ttr,1,Full cohort,TRUE,FALSE,12,39,46
(none),3,3,HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,192,-0.19496231672102185,-0.9231025041448048,0.6885245901639344,0.702576112412178,0.4141501294219155,2920,"tags=26%, list=22%, signal=21%",Tfrc/Psmc4/Gbe1/Cacybp/Hmgcr/Idi1/Hprt1/Ssr1/Atp6v1d/Uso1/Nfkbib/Cops5/Hspa4/Dapp1/Cyb5b/Ddit4/Canx/Ebp/Ero1a/Txnrd1/Slc7a11/Psmc6/Tcea1/Uchl5/Egln3/Sec11a/Plk1/Cxcr4/Psmg1/Hmgcs1/Cd9/Slc2a1/Hspe1/Rab1a/Slc2a3/Ccng1/Psma3/Bub1/Glrx/P4ha1/Gsk3b/Tpi1/Fads1/Pfkl/Nfil3/Aldoa/Actr2/Tes/Pgk1/Ifrd1,1,Full cohort,TRUE,FALSE,11,40,47
(none),3,3,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,46,-0.2494834332943594,-0.922307174150767,0.5846774193548387,0.6441156914893617,0.3796892497200448,2461,"tags=33%, list=19%, signal=27%",Oxsr1/Prdx2/Glrx2/Cat/Ndufa6/Txnrd1/Txn1/Gpx4/Sod1/Pfkp/Srxn1/Sbno2/Lamtor5/Atox1/Glrx,1,Full cohort,TRUE,FALSE,10,41,48
(none),3,3,HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_EARLY,146,-0.20206556295980063,-0.91936276001069,0.6647509578544061,0.692448914431673,0.40818041271761774,1614,"tags=15%, list=12%, signal=13%",Fkbp5/Farp1/Nav2/Slc2a1/Opn3/Flnb/Aff1/Med13l/Plaat3/Dynlt3/Sh3bp5/Mlph/Ugcg/Areg/Igf1r/Arl3/Abhd2/Klf4/Tpbg/Car12/Cd44/B4galt1,1,Full cohort,TRUE,FALSE,9,42,49
(none),3,3,HALLMARK_MYOGENESIS,HALLMARK_MYOGENESIS,134,-0.17453257393766036,-0.7850483497671343,0.9267822736030829,0.9267822736030829,0.5463137612818173,789,"tags=7%, list=6%, signal=7%",Rb1/Mef2c/Gabarapl2/Myom1/Fxyd1/Lpin1/Mef2d/Col6a3/Mras/Ifrd1,1,Full cohort,TRUE,FALSE,8,43,50
C1,3,2,HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,176,-0.5447332581727484,-2.5614701571565917,1.3496381664482743e-16,6.748190832241373e-15,3.835813736221413e-15,1228,"tags=36%, list=9%, signal=33%",F3/Fosl1/Zbtb10/Marcks/Cd80/Tnfaip8/Cflar/Tgif1/Btg3/Ptger4/Cd69/Abca1/Il18/Gem/Litaf/Nr4a2/Klf4/Areg/Rcan1/Nfkbie/Sat1/Irs2/Eif1/Btg1/Bcl6/Fosl2/Maff/Rel/Ninj1/Nfkb1/Ehd1/Dennd5a/Mcl1/Trib1/Ccl5/Il6/Tnfaip2/Vegfa/Il1a/Cd44/Sdc4/Kdm6b/Ets2/Plek/Plau/Cebpb/B4galt1/Pde4b/Gch1/Id2/Fosb/Nfil3/Csf1/Cxcl10/Ccrl2/Cd83/Nr4a1/Plaur/Rnf19b/Ptgs2/Tnfaip3/Bcl2a1d/Nr4a3,2,Omit C1,FALSE,TRUE,50,1,1
C1,3,2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,192,-0.4745010262890336,-2.2588939817172995,1.8925149697031644e-11,4.731287424257911e-10,2.6893633779992336e-10,2091,"tags=33%, list=16%, signal=28%",Hsd17b10/Cox5b/Polr2f/Atp6v1d/Ndufs3/Atp6v1e1/Etfb/Atp5mc1/Etfa/Mtx2/Hadhb/Sdhd/Ndufa6/Sdha/Vdac3/Ndufb7/Atp6v0b/Uqcrq/Gpx4/Atp5po/Atp5mc3/Cox8a/Ndufb5/Suclg1/Ndufb2/Fdx1/Cox4i1/Ndufa4/Ndufc1/Atp5f1e/Supv3l1/Atp6v0e/Cox7c/Cox6c/Timm8b/Ndufs6/Atp5pf/Cox7b/Atp5mf/Atp5pd/Atp1b1/Atp5pb/Ndufa1/AK157302/Bax/Uqcr10/Cox17/Mpc1/Ndufa5/Ndufa2/Cox6b1/Cyb5a/Cox7a2l/Uqcrb/Atp6v1f/Atp6v1g1/Ndufa7/Cox7a2/Ndufc2/Ndufab1/Ndufs4/Uqcrh/Ndufb3,2,Omit C1,FALSE,TRUE,49,2,2
C1,3,2,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,145,-0.43787768398112015,-2.0047403333215,3.874745041294507e-7,6.457908402157513e-6,3.670811091752691e-6,1923,"tags=35%, list=15%, signal=30%",C3ar1/Cd40/Edn1/Lcp2/Gpr183/Rasgrp1/Tnfsf9/Mefv/Rela/Chst2/Scarf1/Tnfrsf1b/Ebi3/Cd48/Cd82/Il1b/Osm/Lyn/F3/Pvr/Cxcl9/Sri/Ccl24/Ptger4/Cd69/P2ry2/Abca1/Il18/Calcrl/Rgs1/Ahr/Ccl7/Tpbg/Gpr132/Clec5a/Nfkb1/Ccl5/Il6/Ptafr/Il1a/Cybb/Pde4b/Itga5/Nlrp3/Gch1/Dcbld2/Csf1/Cxcl10/Cd14/Ccrl2/Plaur,2,Omit C1,FALSE,TRUE,48,3,3
C1,3,2,HALLMARK_HYPOXIA,HALLMARK_HYPOXIA,163,-0.42423001170862223,-1.9691826921685016,6.829993033603723e-7,8.537491292004654e-6,4.852889787034225e-6,1867,"tags=31%, list=14%, signal=27%",Chst2/Ddit4/Myh9/Casp6/Cavin3/Mxi1/Noct/Map3k1/Nedd4l/Fam162a/Pfkp/Rragd/Sap30/Rora/Pim1/Cxcr4/F3/S100a4/Eno3/Klf7/Slc2a1/Atp7a/Eno2/P4ha1/Foxo3/Rbpj/Prkca/Ids/Tpbg/Irs2/Btg1/Tes/Fosl2/Maff/Glrx/Aldoa/Slc2a5/Tpi1/Il6/Pfkl/Gcnt2/Car12/Vegfa/Pgk1/Anxa2/Sdc4/Cp/Nfil3/Mif/Plaur/Tnfaip3,2,Omit C1,FALSE,TRUE,47,4,4
C1,3,2,HALLMARK_COMPLEMENT,HALLMARK_COMPLEMENT,146,-0.4149504113396561,-1.898169984544375,1.052714579923379e-5,1.0527145799233788e-4,5.983851296406577e-5,2871,"tags=39%, list=22%, signal=31%",Lgals3/Serpine1/Fyn/Kynu/Usp14/Clu/C1qa/Lcp2/Ctso/Cd36/Prss36/Rasgrp1/Jak2/Stx4a/Was/S100a13/Brpf3/Casp9/Dyrk2/Anxa5/Adam9/Grb2/Cd46/Cfh/Casp3/Pim1/C3/Notch4/Lyn/F3/Cblb/Fdx1/S100a9/Dgkh/Apoc1/Lamp2/Psmb9/Gngt2/Timp2/Fcer1g/Atox1/Lrp1/Cpq/Dock4/Maff/Casp4/Gp9/Ehd1/Gng2/Ccl5/Il6/Plek/Cebpb/Cp/Ang/Plaur/Tnfaip3,2,Omit C1,FALSE,TRUE,46,5,5
C1,3,2,HALLMARK_MYC_TARGETS_V2,HALLMARK_MYC_TARGETS_V2,58,0.47297540536400023,1.8569617144359205,3.330802436960993e-4,0.00166540121848049,9.466491136625984e-4,1623,"tags=38%, list=12%, signal=33%",Myc/Mcm5/Nop2/Nop56/Grwd1/Mcm4/Srm/Ppan/Bysl/Cdk4/Tmem97/Tbrg4/Noc4l/Ung/Wdr43/Pprc1/Rrp9/Mrto4/Pes1/Wdr74/Nolc1/Nop16,2,Omit C1,FALSE,TRUE,1,50,6
C1,3,2,HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,86,0.4364731551020439,1.855010603575664,1.2457781039512648e-4,8.1379954118411e-4,4.625807918309679e-4,1990,"tags=43%, list=15%, signal=37%",Irf1/Ifit2/Irf9/Dhx58/Eif2ak2/Ogfr/Tmem140/Usp18/Rsad2/Cmpk2/Rtp4/Rnf31/Oasl1/Mov10/Stat2/Adar/Parp14/Irf7/Tap1/Cnp/Sp110/Ifit3/Trafd1/Oas1a/Batf2/Psme2/Trim12c/Gmpr/Lgals3bp/Parp9/Uba7/Herc6/Trim14/Tent5a/Ifitm3/Slc25a28/Ifi35,2,Omit C1,FALSE,TRUE,2,49,7
C1,3,2,HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ANDROGEN_RESPONSE,86,-0.4255690355284989,-1.7955838129666295,5.073341569850216e-4,0.00211389232077092,0.00120158089812241,1398,"tags=34%, list=11%, signal=30%",Ube2i/Stk39/Fkbp5/Ncoa4/Itgav/Maf/Appbp2/Ccnd3/Uap1/Zbtb10/Lman1/Dbi/H1f0/Tnfaip8/Lifr/Tmem50a/Mertk/Selenop/Ngly1/Abhd2/Cenpn/Ube2j1/Rps6ka3/Sat1/Fads1/Ell2/Vapa/B4galt1/B2m,2,Omit C1,FALSE,TRUE,45,6,8
C1,3,2,HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,136,-0.3933886559458695,-1.7796452521154331,5.069907884727781e-5,4.224923237273151e-4,2.401535313818423e-4,2513,"tags=35%, list=19%, signal=29%",Mtif2/Cd40/Lcp2/Itgal/Il2/Jak2/Bcl10/Galnt1/Cdkn2a/Nme1/Ube2n/Was/Pf4/Srgn/H2-Oa/Npm1/Cd47/Il1b/Ncf4/Ccnd3/Rps9/Lyn/Ccr5/Ifnar2/Cd80/Cxcl9/Cd74/Prkcg/Gpr65/Il2rg/Tlr6/Ltb/Il18/Rps3a1/Ccnd2/H2-Ob/Ccl7/Fas/H2-Aa/Ccr1/Ccl5/Il6/Cd86/Nlrp3/Ly86/Klrd1/B2m/Csf1,2,Omit C1,FALSE,TRUE,44,7,9
C1,3,2,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,129,-0.3844807126476276,-1.7282979655776602,1.9114488189711675e-4,0.00106191601053953,6.03615416517211e-4,1398,"tags=23%, list=11%, signal=21%",Itgav/Notch2/Glipr1/Pvr/Matn2/Thbs1/Pmp22/Gem/Serpine2/Fzd8/Areg/Eno2/Lrp1/Wipf1/Fas/Sat1/Col6a3/Pcolce/Dst/Il6/Tpm4/Igfbp2/Vegfa/Cd44/Sdc4/Itga5/Id2/Vcam1/Plaur/Tnfaip3,2,Omit C1,FALSE,TRUE,43,8,10
C1,3,2,HALLMARK_KRAS_SIGNALING_UP,HALLMARK_KRAS_SIGNALING_UP,148,-0.3688221136270888,-1.6929077279100553,1.302079265894576e-4,8.1379954118411e-4,4.625807918309679e-4,1410,"tags=20%, list=11%, signal=18%",Cfh/Il1b/Cxcr4/Ace/Psmb8/Laptm5/Snap91/Snap25/Etv1/Cab39l/Slpi/Il2rg/Fcer1g/Ccnd2/Klf4/Tspan13/Strn/Glrx/Trib1/Plau/Ly96/Dcbld2/Id2/Igf2/Cxcl10/Plaur/Ptgs2/Tnfaip3/Prdm1,2,Omit C1,FALSE,TRUE,42,9,11
C1,3,2,HALLMARK_APOPTOSIS,HALLMARK_APOPTOSIS,141,-0.3642406560227424,-1.65722623192694,5.990296571314438e-4,0.00230396021973632,0.0013096194933238,2177,"tags=31%, list=16%, signal=26%",Bcl10/Anxa1/Ppp3r1/Birc3/Hspb1/Aifm3/Erbb3/Rela/Casp6/Sod1/Casp9/Rock1/Sod2/Ebp/Txnip/Il1b/Casp3/Cd38/Gpx4/H1f0/Cflar/Btg3/Top2a/Cd69/Wee1/Timp2/Pdcd4/Lmna/Il18/Ccnd2/Smad7/Bax/Eno2/Fas/Sat1/Ptk2/Casp4/Mcl1/Il6/Hmgb2/Il1a/Cd44/Gch1/Cd14,2,Omit C1,FALSE,TRUE,41,10,12
C1,3,2,HALLMARK_PROTEIN_SECRETION,HALLMARK_PROTEIN_SECRETION,92,-0.37353343998328065,-1.59097044893244,0.00401278863140543,0.01433138796930511,0.00814626263518395,4597,"tags=51%, list=35%, signal=34%",Dnm1l/Ocrl/Ap2b1/Stx16/Napg/Arfgef2/Sec24d/Gla/Sec31a/Ap1g1/Golga4/Cltc/Arf1/Zw10/Igf2r/Copb2/Tpd52/Krt18/Cav2/Galc/M6pr/Clcn3/Cog2/Vamp4/Gosr2/Arcn1/Copb1/Tmed10/Snap23/Sod1/Sec22b/Mapk1/Uso1/Clta/Scamp1/Anp32e/Lman1/Bet1/Lamp2/Rer1/Ap3s1/Abca1/Adam10/Atp7a/Rps6ka3/Bnip3/Dst,2,Omit C1,FALSE,TRUE,40,11,13
C1,3,2,HALLMARK_COAGULATION,HALLMARK_COAGULATION,85,-0.3763464331133262,-1.585177570969991,0.00625894181350989,0.02086313937836631,0.01185904764665032,2822,"tags=38%, list=21%, signal=30%",Serpine1/Fyn/Sparc/Klk8/Clu/C1qa/Ctso/Anxa1/Pecam1/Rac1/Cd9/Pf4/S100a13/Casp9/Adam9/Furin/Cfh/Dusp14/C3/F3/Apoc1/Lamp2/Thbs1/Klf7/Gng12/Lrp1/Cpq/Maff/Gp9/Plek/Plau/Ang,2,Omit C1,FALSE,TRUE,39,12,14
C1,3,2,HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,197,0.32884008733985903,1.581796244660211,4.387111545760051e-4,0.00199414161170911,0.00113351207402412,1617,"tags=23%, list=12%, signal=20%",Mthfd2/Myc/Rpa2/Mcm7/Mcm6/Mcm5/Mcm2/Slbp/Nop56/Orc6/Timeless/Rad51ap1/Hells/Mcm4/Lig1/Suv39h1/Nasp/Tubb5/Jpt1/Cdk4/Pms2/Rad50/Pola2/Tbrg4/Rfc2/Ung/Pop7/Aurkb/Mcm3/Trp53/Luc7l3/Pold1/Tcf19/Pan2/Espl1/Ccne1/Cnot9/Gins1/Cdc25a/Tipin/Dscc1/Ddx39a/Srsf2/Nup107/Nolc1,2,Omit C1,FALSE,TRUE,3,48,15
C1,3,2,HALLMARK_SPERMATOGENESIS,HALLMARK_SPERMATOGENESIS,78,-0.3782500421037811,-1.575893056670684,0.00945107811102944,0.02779728856185131,0.01580056402463127,2341,"tags=32%, list=18%, signal=27%",Cdkn3/Ccnb2/Tsn/Chfr/Pebp1/Strbp/Psmg1/Il12rb2/Scg5/Arl4a/Gstm5/Hspa4l/Pomc/Mlf1/Vdac3/Ace/Jam3/Gsg1/Snap91/Mast2/Braf/Camk4/Lpin1/Slc2a5/Clgn,2,Omit C1,FALSE,TRUE,38,13,16
C1,3,2,HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,70,-0.3623815380761865,-1.4853790831915568,0.03707580893085201,0.09569444485848044,0.05439473707745204,1948,"tags=31%, list=15%, signal=27%",Ptpn2/Cd9/Pf4/Tnfrsf1b/Grb2/Ebi3/Il1b/Cd38/Pim1/Il17ra/Cxcl9/Il13ra1/Il2rg/Ltb/Ccl7/Fas/Ccr1/Il6/Cd44/Csf1/Cxcl10/Cd14,2,Omit C1,FALSE,FALSE,37,14,17
C1,3,2,HALLMARK_APICAL_SURFACE,HALLMARK_APICAL_SURFACE,30,-0.4341044603708367,-1.4648021892294043,0.04019166684056178,0.09569444485848044,0.05439473707745204,2182,"tags=33%, list=17%, signal=28%",Ghrl/Hspb1/Gstm5/Scube1/Lyn/Il2rg/Adam10/B4galt1/Dcbld2/Plaur,2,Omit C1,FALSE,FALSE,36,15,18
C1,3,2,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL2_STAT5_SIGNALING,166,-0.31230116442511685,-1.456674606673957,0.00760297828350819,0.02375930713596312,0.01350529037202114,1682,"tags=22%, list=13%, signal=19%",Tnfrsf1b/Arl4a/Furin/Mapkapk2/Batf/Cd48/Rragd/Itgav/Casp3/Rora/Pim1/Ccnd3/Gpx4/Swap70/Eno3/Ikzf2/Gpr65/Huwe1/Ltb/Rhoh/Ccnd2/Odc1/Ahr/P4ha1/Bmpr2/Smpdl3a/Maff/Tlr7/Dennd5a/Cd44/Cd86/Igf1r/Nfil3/Csf1/Cxcl10/Cd83,2,Omit C1,FALSE,TRUE,35,16,19
C1,3,2,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,46,-0.35921181429997584,-1.3377424517420813,0.07615230460921844,0.1523046092184369,0.0865731462925852,2033,"tags=35%, list=15%, signal=30%",Mgst1/Glrx2/Oxsr1/Sod1/Cat/Sod2/Pfkp/Ndufa6/Gpx4/Txnrd1/Sbno2/Srxn1/Txn1/Lamtor5/Atox1/Glrx,2,Omit C1,FALSE,FALSE,34,17,20
C1,3,2,HALLMARK_HEME_METABOLISM,HALLMARK_HEME_METABOLISM,167,-0.28035840560985203,-1.3112148884686954,0.03175941865111278,0.08822060736420216,0.05014645050175703,3042,"tags=30%, list=23%, signal=23%",Htatip2/Tfrc/Acsl6/Atp6v0a1/Aldh6a1/Snca/Adipor1/Clcn3/Prdx2/Cpox/Kat2b/Hagh/Tcea1/Tal1/Ucp2/Mfhas1/Fn3k/Tfdp2/Sec14l1/Mocos/Nfe2l1/Cdc27/Xpo7/Mark3/Glrx5/Ncoa4/Mxi1/Arhgef12/Cat/Uros/Ccnd3/Slc7a11/C3/Pdzk1ip1/Mkrn1/Ackr1/Xk/H1f0/Lamp2/Tent5c/Slc2a1/Sdcbp/AK157302/Foxo3/Bach1/Ell2/Epb41/Lpin2/Bmp2k/Picalm,2,Omit C1,FALSE,FALSE,33,18,21
C1,3,2,HALLMARK_NOTCH_SIGNALING,HALLMARK_NOTCH_SIGNALING,27,-0.39969052851691855,-1.296747748482797,0.15384615384615383,0.273297793373372,0.1553482193911799,1415,"tags=26%, list=11%, signal=23%",Sap30/Notch2/Tcf7l2/Prkca/Psenen/Rbx1/St3gal6,2,Omit C1,FALSE,FALSE,32,19,22
C1,3,2,HALLMARK_ADIPOGENESIS,HALLMARK_ADIPOGENESIS,185,-0.2702039754415717,-1.2826743390216742,0.04672897196261682,0.10413111440313892,0.05919031766073161,2770,"tags=29%, list=21%, signal=23%",Sult1a1/Mtarc2/Ptger3/Ucp2/Dld/Aplp2/Rtn3/Acadl/Ywhag/Mrpl15/Sorbs1/Cd36/Pfkfb3/Cdkn2c/Idh3g/Agpat3/Ppm1b/Ndufs3/Etfb/Sod1/Hibch/Cat/Dhrs7b/Arl4a/Dhrs7/Sowahc/Ndufb7/Uqcrq/Gpx4/Atp5po/C3/Cox8a/Cmpk1/Suclg1/Lifr/Enpp2/Cd302/Pdcd4/Cox7b/Abca1/Atp1b3/Uqcr10/Ltc4s/Ndufa5/Chchd10/Dnajc15/Bcl6/Scp2/Aldoa/Pfkl/Sqor/Ndufab1/Apoe,2,Omit C1,FALSE,FALSE,31,20,23
C1,3,2,HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,165,0.26882881704986494,1.2780907877950285,0.0387303075038312,0.09569444485848044,0.05439473707745204,2110,"tags=30%, list=16%, signal=25%",Socs1/Mthfd2/Irf1/Ifit2/Irf9/Dhx58/Eif2ak2/Ogfr/Rapgef6/Ptpn6/Mvp/Usp18/Rsad2/Cmpk2/Rtp4/Rnf31/Oasl1/Pla2g4a/Tor1b/Stat2/Adar/Parp14/Irf7/Pml/Znfx1/Tap1/Sp110/Ifit3/Trafd1/Xaf1/Batf2/Stat1/Psme2/Lgals3bp/Rnf213/Herc6/Trim14/St3gal5/Nod1/Ifitm3/Zbp1/P2ry14/Slc25a28/Bank1/Irf8/Ifi35/Il18bp/Ripk1/Cmklr1,2,Omit C1,FALSE,FALSE,4,47,24
C1,3,2,HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,192,-0.267913535091706,-1.2754203647825662,0.0479003126254439,0.10413111440313892,0.05919031766073161,2927,"tags=32%, list=22%, signal=25%",Gspt1/Cox5a/Xpot/Hdac2/Abce1/Eif2s1/Syncrip/Ssb/Srpk1/G3bp1/Snrpb2/Ube2e1/Cops5/Psmb3/Canx/Xpo1/Cstf2/Rps6/Psmd8/Nme1/Snrpg/Eif4e/Acp1/Mrpl23/Rpl18/Npm1/Glo1/Psma6/Prps2/Psmc6/Ccna2/Cad/Hnrnpa3/Ywhaq/Hprt1/Vdac3/Snrpd1/Fam120a/Vbp1/Rps3/Ywhae/Srsf1/Phb1/H2az1/Snrpd2/Ap3s1/Hspe1/Odc1/Psma2/Erh/Hnrnpr/Eef1b2/Rps10/Cbx3/Txnl4a/Pgk1/Ssbp1/Hnrnpc/Ndufab1/Rpl22/Ifrd1,2,Omit C1,FALSE,FALSE,30,21,25
C1,3,2,HALLMARK_P53_PATHWAY,HALLMARK_P53_PATHWAY,183,-0.27044920930603455,-1.2742068876137949,0.05,0.10416666666666669,0.05921052631578948,1503,"tags=21%, list=11%, signal=19%",Rps12/Rpl18/Hspa4l/Fam162a/Cd82/Txnip/Pom121/Gm2a/Ccnd3/Slc7a11/S100a4/Rb1/Hint1/Vamp8/Mknk2/H2aj/Ccng1/Ccnd2/Klf4/Tgfa/Bax/Rps27l/Cdkn2b/Foxo3/Fas/Pitpnc1/Sat1/Rpl36/Btg1/H2ac25/S100a10/Cebpa/Ninj1/Zfp36l1/Zbtb16/Il1a/Rnf19b/H1f2,2,Omit C1,FALSE,FALSE,29,22,26
C1,3,2,HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_ESTROGEN_RESPONSE_LATE,141,-0.26173271283077737,-1.1908344394961847,0.13424124513618677,0.24859489840034588,0.14130657382756506,2498,"tags=28%, list=19%, signal=23%",Dusp2/Elovl5/Ass1/Kif20a/Jak2/Anxa9/Bag1/Fkbp5/Cd9/Etfb/Tjp3/Aldh3a2/Chpt1/Hspa4l/Batf/Myb/Hprt1/Plaat3/S100a9/Flnb/Btg3/Top2a/Dlg5/Dynlt3/Cox6c/Pdcd4/Klf4/Tspan13/Areg/Aff1/Abhd2/Jak1/Arl3/Tpbg/Car12/Cd44/Dnajc12/Id2/Fabp5,2,Omit C1,FALSE,FALSE,28,23,27
C1,3,2,HALLMARK_GLYCOLYSIS,HALLMARK_GLYCOLYSIS,162,-0.2540968870498708,-1.182136068670802,0.12133072407045008,0.2333283155200963,0.13262872671668635,1965,"tags=22%, list=15%, signal=19%",Homer1/Slc16a3/Chst2/Ddit4/Casp6/Sod1/Mxi1/Arpp19/Fam162a/Pfkp/Bpnt1/Rragd/Sap30/Cxcr4/Il13ra1/Mertk/Txn1/Tgfa/Eno2/P4ha1/Stmn1/Cenpa/Tpbg/Irs2/Glrx/Cyb5a/Aldoa/Tpi1/Vegfa/Pgk1/Cd44/B4galt1/Pgam1/Ang/Mif,2,Omit C1,FALSE,FALSE,27,24,28
C1,3,2,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_FATTY_ACID_METABOLISM,129,-0.26147468357422105,-1.1753675771131744,0.15851272015655576,0.273297793373372,0.1553482193911799,2976,"tags=29%, list=23%, signal=23%",Hsp90aa1/Suclg2/Slc22a5/Hsd17b11/Hsdl2/Cpox/Bphl/D2hgdh/Dld/Elovl5/Acadl/Idi1/Cd36/Hmgcs1/Idh3g/Hsd17b10/Ywhah/Rap1gds1/Hibch/Aldh3a2/Uros/Hadhb/Sdhd/Mcee/Sdha/Ostc/Suclg1/H2az1/Eno3/Serinc1/Glul/Odc1/Eno2/Ltc4s/Auh/S100a10/Aldoa/Mif,2,Omit C1,FALSE,FALSE,26,25,29
C1,3,2,HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_CHOLESTEROL_HOMEOSTASIS,65,-0.28883559952758975,-1.159356394958934,0.19760479041916168,0.32878411910669975,0.18688781507117672,2629,"tags=26%, list=20%, signal=21%",Hmgcr/Clu/Cpeb2/Idi1/Hmgcs1/Srebf2/Cd9/Anxa5/Ebp/Gpx8/Atxn2/Trp53inp1/S100a11/Fabp5/Cxcl16/Nfil3/Plaur,2,Omit C1,FALSE,FALSE,25,26,30
