omitted_animal,n_combined_exposure,n_oxygen_control,combined_exposure_mean,oxygen_control_mean,scrublet_negative_mean_difference,scrublet_negative_cohens_d,scrublet_negative_exact_permutation_p,all_7461_microglia_mean_difference,all_7461_microglia_cohens_d,all_7461_microglia_exact_permutation_p,delta_mean_difference_scrublet_negative_minus_all_7461_microglia,delta_cohens_d_scrublet_negative_minus_all_7461_microglia,sign_same_between_inclusion_sets,scenario_order,scenario,sensitivity_status
(none),3,3,3.3745643912840535,2.3059907159608053,1.0685736753232482,1.3247486233261767,0.2,1.066003929153014,1.3023104158058874,0.2,0.00256974617023431,0.02243820752028935,TRUE,1,Full cohort,"Same six-animal cohort; computational inclusion sensitivity, not biological replication"
C1,3,2,3.3745643912840535,2.339671722485266,1.0348926687987876,1.1125603910747326,NA,1.0302373084089198,1.0915569383498045,NA,0.0046553603898678,0.02100345272492809,TRUE,2,Omit C1,"Same six-animal cohort; computational inclusion sensitivity, not biological replication"
C2,3,2,3.3745643912840535,2.3738896293347085,1.000674761949345,1.0801222241288868,NA,0.9863090647178052,1.0510154543685353,NA,0.01436569723153979,0.02910676976035153,TRUE,3,Omit C2,"Same six-animal cohort; computational inclusion sensitivity, not biological replication"
C3,3,2,3.3745643912840535,2.204410796062442,1.1701535952216116,1.2715414562772422,NA,1.1814654143323162,1.2690737835947503,NA,-0.01131181911070466,0.00246767268249192,TRUE,4,Omit C3,"Same six-animal cohort; computational inclusion sensitivity, not biological replication"
S1,2,3,3.512054236012826,2.3059907159608053,1.206063520052021,1.3240536089319446,NA,1.205808830164242,1.3046098826935906,NA,2.5468988777932466e-4,0.01944372623835399,TRUE,5,Omit S1,"Same six-animal cohort; computational inclusion sensitivity, not biological replication"
S2,2,3,3.856375325430192,2.3059907159608053,1.5503846094693865,2.4415084774612774,NA,1.552761728133937,2.3974040384239457,NA,-0.0023771186645507,0.04410443903733174,TRUE,6,Omit S2,"Same six-animal cohort; computational inclusion sensitivity, not biological replication"
S3,2,3,2.7552636124091423,2.3059907159608053,0.449272896448337,1.4175006327489883,NA,0.43944122916086226,1.3359403887625094,NA,0.00983166728747475,0.0815602439864791,TRUE,7,Omit S3,"Same six-animal cohort; computational inclusion sensitivity, not biological replication"
