analysis_set,n_cells,n_expression_features,panel,panel_genes,sweep,seed,ctrl_size,n_bins,mean_difference,mean_difference_ci_low,mean_difference_ci_high,welch_df,cohens_d,exact_perm_p,mean_difference_omit_s3,cohens_d_omit_s3,sign_preserved_omit_s3,combined_exposure_values,oxygen_control_values,panel_size,biological_unit,exploratory_status
"Primary: 7,371 Scrublet-negative microglia",7371,27933,author_selected_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,seed_sweep,13,50,25,0.04726062448139552,-0.18228309123270792,0.276804340195499,2.050530482029807,0.7064952045158914,0.8,-0.00673902354592435,-0.58092855883809,FALSE,S1:-0.038541659;S2:-0.057535262;S3:0.11396048,C1:-0.051461674;C2:-0.030369167;C3:-0.042067469,7,Animal/library,Parameter sensitivity within the same six-animal cohort; not biological replication
"Primary: 7,371 Scrublet-negative microglia",7371,27933,author_selected_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,seed_sweep,14,50,25,0.04723230693081518,-0.1825382565349139,0.27700287039654425,2.0511340865607433,0.705182343630285,0.8,-0.00688047197498242,-0.6149886183719221,FALSE,S1:-0.041324976;S2:-0.058586183;S3:0.11238276,C1:-0.053207172;C2:-0.031986242;C3:-0.044031908,7,Animal/library,Parameter sensitivity within the same six-animal cohort; not biological replication
"Primary: 7,371 Scrublet-negative microglia",7371,27933,author_selected_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,seed_sweep,15,50,25,0.0453283829510803,-0.18013853628344434,0.27079530218560494,2.0535283329687717,0.6889294923844074,0.8,-0.0078055185314411,-0.6964188783181401,FALSE,S1:-0.03919146;S2:-0.056405225;S3:0.11160336,C1:-0.05015337;C2:-0.028835904;C3:-0.040989198,7,Animal/library,Parameter sensitivity within the same six-animal cohort; not biological replication
"Primary: 7,371 Scrublet-negative microglia",7371,27933,author_selected_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,seed_sweep,16,50,25,0.0443867621047195,-0.1794789710562142,0.2682524952656532,2.0429872790424275,0.6826983468074233,0.8,-0.0082214976382209,-0.8182219656383406,FALSE,S1:-0.040967921;S2:-0.056657686;S3:0.10901198,C1:-0.049796802;C2:-0.030855768;C3:-0.041121346,7,Animal/library,Parameter sensitivity within the same six-animal cohort; not biological replication
"Primary: 7,371 Scrublet-negative microglia",7371,27933,author_selected_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,seed_sweep,17,50,25,0.04647102924259869,-0.17512319953658842,0.2680652580217858,2.052669064605647,0.7189182371631483,0.8,-0.00576241462246923,-0.5385720344891847,FALSE,S1:-0.038956303;S2:-0.054842537;S3:0.10980091,C1:-0.050775261;C2:-0.03007675;C3:-0.042559007,7,Animal/library,Parameter sensitivity within the same six-animal cohort; not biological replication
"Primary: 7,371 Scrublet-negative microglia",7371,27933,author_selected_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,seed_sweep,18,50,25,0.04669673227388726,-0.1804350737599094,0.27382853830768394,2.055821348258738,0.7037974128838307,0.8,-0.00682978344169429,-0.5781918950741491,FALSE,S1:-0.040536845;S2:-0.059308453;S3:0.1106569,C1:-0.053668984;C2:-0.031696445;C3:-0.043913167,7,Animal/library,Parameter sensitivity within the same six-animal cohort; not biological replication
"Primary: 7,371 Scrublet-negative microglia",7371,27933,author_selected_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,seed_sweep,19,50,25,0.04636509812614854,-0.1816100474056518,0.2743402436579489,2.0470362036265133,0.6989828040849855,0.8,-0.00720558549808796,-0.6394278375251591,FALSE,S1:-0.040049335;S2:-0.058831099;S3:0.11127183,C1:-0.051862557;C2:-0.031696382;C3:-0.043144955,7,Animal/library,Parameter sensitivity within the same six-animal cohort; not biological replication
"Primary: 7,371 Scrublet-negative microglia",7371,27933,author_selected_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,control_size_sweep,42,25,25,0.04597365729160293,-0.1749457339043227,0.26689304848752854,2.0552601294675417,0.7125641178703418,0.8,-0.00612561565699198,-0.5556459165462003,FALSE,S1:-0.039163724;S2:-0.055757075;S3:0.10883742,C1:-0.051745653;C2:-0.030456711;C3:-0.041801987,7,Animal/library,Parameter sensitivity within the same six-animal cohort; not biological replication
"Primary: 7,371 Scrublet-negative microglia",7371,27933,author_selected_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,control_size_sweep,42,50,25,0.04649471117813342,-0.1766248419246236,0.2696142642808904,2.0546913450620976,0.7137166150596257,0.8,-0.00608966251040171,-0.5378878025588492,FALSE,S1:-0.039026709;S2:-0.05666268;S3:0.10990843,C1:-0.052213813;C2:-0.030827752;C3:-0.042223531,7,Animal/library,Parameter sensitivity within the same six-animal cohort; not biological replication
"Primary: 7,371 Scrublet-negative microglia",7371,27933,author_selected_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,control_size_sweep,42,100,25,0.0452833505630018,-0.1805246247436176,0.27109132586962115,2.057173084706516,0.6860799110147299,0.8,-0.00798673227106173,-0.6922013096246661,FALSE,S1:-0.040816959;S2:-0.058354305;S3:0.11022462,C1:-0.052239027;C2:-0.030122945;C3:-0.042434727,7,Animal/library,Parameter sensitivity within the same six-animal cohort; not biological replication
"Primary: 7,371 Scrublet-negative microglia",7371,27933,author_selected_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,control_size_sweep,42,200,25,0.04572232857860981,-0.18011092582451235,0.271555582981732,2.054980517982276,0.6933360990343246,0.8,-0.0075143572462543,-0.6587854778431135,FALSE,S1:-0.040929491;S2:-0.05850307;S3:0.10999378,C1:-0.052561978;C2:-0.030902049;C3:-0.043141741,7,Animal/library,Parameter sensitivity within the same six-animal cohort; not biological replication
"Primary: 7,371 Scrublet-negative microglia",7371,27933,author_selected_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,bin_sweep,42,50,10,0.04665080080002649,-0.1798990580188508,0.2732006596189038,2.0518929353829427,0.7061599688126831,0.8,-0.00670218701796063,-0.5971979681205886,FALSE,S1:-0.029862766;S2:-0.047426184;S3:0.12141449,C1:-0.041963888;C2:-0.020891498;C3:-0.032971476,7,Animal/library,Parameter sensitivity within the same six-animal cohort; not biological replication
"Primary: 7,371 Scrublet-negative microglia",7371,27933,author_selected_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,bin_sweep,42,50,25,0.04649471117813342,-0.1766248419246236,0.2696142642808904,2.0546913450620976,0.7137166150596257,0.8,-0.00608966251040171,-0.5378878025588492,FALSE,S1:-0.039026709;S2:-0.05666268;S3:0.10990843,C1:-0.052213813;C2:-0.030827752;C3:-0.042223531,7,Animal/library,Parameter sensitivity within the same six-animal cohort; not biological replication
"Primary: 7,371 Scrublet-negative microglia",7371,27933,author_selected_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,bin_sweep,42,50,50,0.04588281071654294,-0.1805230774226468,0.27228869885573265,2.0599787572909114,0.6924551642739312,0.8,-0.00753874460495108,-0.6232461030392791,FALSE,S1:-0.038768817;S2:-0.057712387;S3:0.11202406,C1:-0.051429416;C2:-0.028746994;C3:-0.041929162,7,Animal/library,Parameter sensitivity within the same six-animal cohort; not biological replication
