graph_scope,n_subsampling_runs,reference_and_iteration_seed_scheme,leiden_resolution,n_partitions_full_cohort,modal_n_partitions_across_subsamples,mean_best_match_jaccard_across_full_cohort_partitions,median_best_match_jaccard_across_full_cohort_partitions,minimum_best_match_jaccard,maximum_best_match_jaccard,n_partitions_mean_jaccard_ge_0.75,n_partitions_mean_jaccard_ge_0.60
Full-cohort reference graph and each 80% subsample graph rebuilt from inherited whole-cell PC1-PC20; 15 neighbors,30,Reference graph/Leiden seed 0; subsample graph/Leiden seed varies 0-29,0.1,3,3,0.7098042117854116,0.5923450056710136,0.5530393669466455,0.984028262738576,1,1
Full-cohort reference graph and each 80% subsample graph rebuilt from inherited whole-cell PC1-PC20; 15 neighbors,30,Reference graph/Leiden seed 0; subsample graph/Leiden seed varies 0-29,0.2,4,4,0.6854979178451863,0.6808059537461882,0.44632679639623785,0.9340529674921312,1,3
Full-cohort reference graph and each 80% subsample graph rebuilt from inherited whole-cell PC1-PC20; 15 neighbors,30,Reference graph/Leiden seed 0; subsample graph/Leiden seed varies 0-29,0.3,6,5,0.5583425788343185,0.5873400184789201,0.036971764580961367,0.947495667729528,1,2
Full-cohort reference graph and each 80% subsample graph rebuilt from inherited whole-cell PC1-PC20; 15 neighbors,30,Reference graph/Leiden seed 0; subsample graph/Leiden seed varies 0-29,0.4,7,6,0.5825045517720262,0.6084914421972087,0.117817088521926,0.9572764780567612,1,4
Full-cohort reference graph and each 80% subsample graph rebuilt from inherited whole-cell PC1-PC20; 15 neighbors,30,Reference graph/Leiden seed 0; subsample graph/Leiden seed varies 0-29,0.5,9,8,0.562030225309,0.5060465878423739,0.19185741459996689,0.9648167174455922,2,4
Full-cohort reference graph and each 80% subsample graph rebuilt from inherited whole-cell PC1-PC20; 15 neighbors,30,Reference graph/Leiden seed 0; subsample graph/Leiden seed varies 0-29,0.6,10,9,0.5275220297613428,0.5053954724376093,0.2717906407675572,0.7894255645505531,2,3
Full-cohort reference graph and each 80% subsample graph rebuilt from inherited whole-cell PC1-PC20; 15 neighbors,30,Reference graph/Leiden seed 0; subsample graph/Leiden seed varies 0-29,0.8,10,10,0.5525784035187595,0.518215273637199,0.31544606778790907,0.956610951495906,1,2
Full-cohort reference graph and each 80% subsample graph rebuilt from inherited whole-cell PC1-PC20; 15 neighbors,30,Reference graph/Leiden seed 0; subsample graph/Leiden seed varies 0-29,1,12,13,0.5861065681109058,0.5816886050046186,0.278526668752867,0.9776729845409926,1,4
