partition,traceability_name,gene_group,gene_group_order,gene,within_group_order,n_cells,pct_detected
4,Homeostatic-C,Oligodendrocyte lineage,4,Mobp,5,1209,22.91149710504549
5,Transitional-B,Microglia core,1,P2ry12,1,618,80.74433656957929
5,Transitional-B,Microglia core,1,Tmem119,2,618,88.18770226537217
5,Transitional-B,Microglia core,1,Cx3cr1,3,618,90.77669902912622
5,Transitional-B,Microglia core,1,Hexb,4,618,97.73462783171522
5,Transitional-B,Microglia core,1,Csf1r,5,618,94.98381877022653
5,Transitional-B,BAM/CAM,2,Pf4,1,618,0.8090614886731391
5,Transitional-B,BAM/CAM,2,Mrc1,2,618,0.6472491909385114
5,Transitional-B,BAM/CAM,2,Lyve1,3,618,0.0
5,Transitional-B,BAM/CAM,2,Cd163,4,618,0.0
5,Transitional-B,BAM/CAM,2,F13a1,5,618,0.16181229773462785
5,Transitional-B,Choroid-plexus-associated,3,Ttr,1,618,49.51456310679612
5,Transitional-B,Oligodendrocyte lineage,4,Plp1,1,618,47.57281553398058
5,Transitional-B,Oligodendrocyte lineage,4,Mbp,2,618,36.89320388349515
5,Transitional-B,Oligodendrocyte lineage,4,Mal,3,618,9.870550161812297
5,Transitional-B,Oligodendrocyte lineage,4,Cldn11,4,618,10.355987055016183
5,Transitional-B,Oligodendrocyte lineage,4,Mobp,5,618,15.6957928802589
6,Rare,Microglia core,1,P2ry12,1,94,97.87234042553192
6,Rare,Microglia core,1,Tmem119,2,94,97.87234042553192
6,Rare,Microglia core,1,Cx3cr1,3,94,100.0
6,Rare,Microglia core,1,Hexb,4,94,100.0
6,Rare,Microglia core,1,Csf1r,5,94,98.93617021276596
6,Rare,BAM/CAM,2,Pf4,1,94,0.0
6,Rare,BAM/CAM,2,Mrc1,2,94,1.0638297872340425
6,Rare,BAM/CAM,2,Lyve1,3,94,0.0
6,Rare,BAM/CAM,2,Cd163,4,94,0.0
6,Rare,BAM/CAM,2,F13a1,5,94,0.0
6,Rare,Choroid-plexus-associated,3,Ttr,1,94,55.319148936170215
6,Rare,Oligodendrocyte lineage,4,Plp1,1,94,100.0
6,Rare,Oligodendrocyte lineage,4,Mbp,2,94,100.0
6,Rare,Oligodendrocyte lineage,4,Mal,3,94,98.93617021276596
6,Rare,Oligodendrocyte lineage,4,Cldn11,4,94,98.93617021276596
6,Rare,Oligodendrocyte lineage,4,Mobp,5,94,98.93617021276596
