dropped_animal,dropped_source_group,scenario,scenario_order,primary_n_combined_exposure,gse289098_n_combined_exposure,primary_n_oxygen_control,gse289098_n_oxygen_control,primary_mean_difference,gse289098_mean_difference,primary_mean_difference_ci95_low,gse289098_mean_difference_ci95_low,primary_mean_difference_ci95_high,gse289098_mean_difference_ci95_high,primary_cohens_d,gse289098_cohens_d,primary_exact_permutation_p,gse289098_exact_permutation_p,primary_perfect_group_separation,gse289098_perfect_group_separation,primary_attenuation_vs_own_full_percent,gse289098_attenuation_vs_own_full_percent,alternative_minus_primary_difference,primary_sign,alternative_sign,sign_concordant
(none),NA,Full cohort,1,3,3,3,3,1.0685736753232482,1.0982960515733415,-1.6383376896954465,-1.6186783540244725,3.775485040341943,3.8152704571711555,1.3247486233261767,1.3672171832917834,0.2,0.2,FALSE,FALSE,0,0,0.02972237625009333,1,1,TRUE
C1,Control,Drop C1,2,3,3,2,2,1.0348926687987876,1.0648639285634856,-1.5605787999738787,-1.5570364851336196,3.630364137571454,3.6867643422605907,1.1125603910747326,1.1494967216865668,NA,NA,FALSE,FALSE,3.1519592239881775,3.043999198755516,0.029971259764697944,1,1,TRUE
C2,Control,Drop C2,3,3,3,2,2,1.000674761949345,1.0393335171384854,-1.6549870264580546,-1.6270939227819867,3.6563365503567447,3.7057609570589576,1.0801222241288868,1.1250338903455286,NA,NA,FALSE,FALSE,6.354163025152522,5.3685465180713825,0.038658755189140415,1,1,TRUE
C3,Control,Drop C3,4,3,3,2,2,1.1701535952216116,1.1906907090180536,-1.6175573572651976,-1.5964712391311444,3.9578645477084207,3.9778526571672517,1.2715414562772422,1.2965820328728745,NA,NA,TRUE,TRUE,-9.506122249140658,-8.412545716826898,0.020537113796442075,1,1,TRUE
S1,Surgery,Drop S1,5,2,2,3,3,1.2060635200520213,1.2345280750809922,-12.28184639845714,-12.319977657723271,14.693973438561184,14.789033807885254,1.3240536089319446,1.3605848064315231,NA,NA,FALSE,FALSE,-12.866669646075817,-12.403943664597012,0.028464555028970828,1,1,TRUE
S2,Surgery,Drop S2,6,2,2,3,3,1.5503846094693863,1.5798769600721152,-7.362840706509171,-7.416805971440137,10.463609925447944,10.576559891584367,2.4415084774612774,2.508803537864335,NA,NA,TRUE,TRUE,-45.08916373972886,-43.84800508104302,0.029492350602728923,1,1,TRUE
S3,Surgery,Drop S3,7,2,2,3,3,0.449272896448337,0.48048311956691725,-2.740270183598287,-2.883612866383809,3.638815976494961,3.8445791055176435,1.4175006327489885,1.5425900464927393,NA,NA,FALSE,FALSE,57.95583338580468,56.251948745640036,0.031210223118580238,1,1,TRUE
