ensembl_id,gene,gene_order,primary_base_mean,gse289098_base_mean,primary_log2_fold_change,gse289098_log2_fold_change,primary_lfc_se,gse289098_lfc_se,primary_ci95_low,gse289098_ci95_low,primary_ci95_high,gse289098_ci95_high,primary_wald_statistic,gse289098_wald_statistic,primary_p_value,gse289098_p_value,primary_adjusted_p_value,gse289098_adjusted_p_value,alternative_minus_primary_log2_fold_change,sign_concordant
ENSMUSG00000025498,Irf7,1,113.44959527199678,111.84608749084578,1.6342935867892807,1.6269642196944036,0.8796974957746069,0.8848049270387375,-0.08991350492894878,-0.1072534373015217,3.35850067850751,3.361181876690329,1.8577904275494423,1.8387829565320377,0.06319878102357256,0.06594711604989038,NA,0.8727834678082151,-0.007329367094877082,TRUE
ENSMUSG00000025492,Ifitm3,2,446.79249389187544,438.69601891443745,1.5666930166121293,1.57385392713954,1.0828846109522259,1.087037367239205,-0.5557608208542333,-0.5567393126493019,3.689146854078492,3.704447166928382,1.446777432024332,1.4478379258817233,0.14795926945808371,0.14766238325176353,0.8030003690384859,0.9177494328254329,0.0071609105274106355,TRUE
ENSMUSG00000035692,Isg15,3,291.82846622748514,277.47311292317073,0.845979139688111,0.8950165093634758,0.7431866855616451,0.7383180091947429,-0.6106667640127134,-0.5520867886582203,2.3026250433889355,2.342119807385172,1.13831309968744,1.212237136595975,0.2549897659323577,0.22542161967170682,0.899845008697543,0.9701793005279322,0.04903736967536476,TRUE
ENSMUSG00000000386,Mx1,4,26.356910379974554,25.298926283890193,1.3732402685906129,1.5551324728886087,0.5243702391131182,0.547138934992953,0.3454745999289013,0.48274016030242084,2.4010059372523243,2.6275247854747965,2.618837161531539,2.8422990458696535,0.008823005329780058,0.004478945737311662,NA,0.3691902108745936,0.1818922042979958,TRUE
ENSMUSG00000034459,Ifit1,5,28.387076457068627,27.843957746382056,1.6811334650296175,1.6726893160313103,0.6798441134869604,0.6823459512091598,0.3486390025951751,0.3352912516613573,3.01362792746406,3.0100873804012633,2.4728219773897653,2.4513801438510776,0.013405090003637802,0.014230957154283953,NA,0.5974836011709411,-0.008444148998307144,TRUE
ENSMUSG00000045932,Ifit2,6,32.957995247655845,31.860626805979408,1.222021945783385,1.2087048698196516,0.41430237585245155,0.4234601358156954,0.4099892891125799,0.3787230036208886,2.03405460245419,2.0386867360184144,2.9495895196569966,2.854353379666704,0.0031819637578521464,0.004312453259503906,NA,0.3633076007545137,-0.013317075963733327,TRUE
ENSMUSG00000074896,Ifit3,7,99.0290898562729,97.22320228262248,1.1099937621902867,1.0861072582441487,0.7703084332006929,0.7729775677146834,-0.39981076688307127,-0.4289287744766308,2.6197982912636446,2.601143290964928,1.4409731405615984,1.4050954433971954,0.149592271068627,0.15999289890214985,NA,0.9340310387933609,-0.023886503946138005,TRUE
