payload,sample,size_factor
primary,C1,0.8658396164993575
primary,C2,0.6175512842605774
primary,C3,1.0152982540018969
primary,S1,1.143490078417157
primary,S2,1.4356200593660746
primary,S3,1.1522177792156088
gse289098,C1,0.8614429258954438
gse289098,C2,0.6128337557899655
gse289098,C3,1.0017212796745718
gse289098,S1,1.167188022475711
gse289098,S2,1.4717887880051537
gse289098,S3,1.1300240948886533
