outcome,dropped_animal,dropped_source_group,scenario,scenario_order,primary_n_combined_exposure,gse289098_n_combined_exposure,primary_n_oxygen_control,gse289098_n_oxygen_control,primary_mean_difference,gse289098_mean_difference,primary_mean_difference_ci95_low,gse289098_mean_difference_ci95_low,primary_mean_difference_ci95_high,gse289098_mean_difference_ci95_high,primary_cohens_d,gse289098_cohens_d,primary_exact_permutation_p,gse289098_exact_permutation_p,primary_perfect_group_separation,gse289098_perfect_group_separation,alternative_minus_primary_difference,sign_concordant
Mx1,C1,Control,Drop C1,2,3,3,2,2,1.3859957021086196,1.5507981533783497,-1.1472534406058479,-1.311831444783728,3.919244844823087,4.413427751540428,2.0123643546804026,2.1343014879217637,NA,NA,TRUE,TRUE,0.16480245126973014,TRUE
Mx1,C2,Control,Drop C2,3,3,3,2,2,1.103680319395968,1.2760426751752783,-0.3568826770797915,-0.2812427916549858,2.5642433158717273,2.8333281420055423,1.8971751541579787,2.080785989004277,NA,NA,TRUE,TRUE,0.17236235577931036,TRUE
Mx1,C3,Control,Drop C3,4,3,3,2,2,1.605951314528058,1.8280116230959682,0.07015072415635992,0.2747160442954979,3.141751904899756,3.3813072018964387,2.679142156190291,2.984448250104495,NA,NA,TRUE,TRUE,0.22206030856791026,TRUE
Mx1,S1,Surgery,Drop S1,5,2,2,3,3,1.419349838632892,1.6098541277452711,-3.525522315192323,-3.2515204004861906,6.364221992458107,6.4712286559767325,2.0717357727185735,2.2299461003358463,NA,NA,TRUE,TRUE,0.19050428911237915,TRUE
Mx1,S2,Surgery,Drop S2,6,2,2,3,3,1.673725640268784,1.8678584335801665,-0.5384876809875845,-0.3671963909172229,3.8859389615251523,4.102913258077556,3.1359348506233515,3.2617095486541707,NA,NA,TRUE,TRUE,0.19413279331138256,TRUE
Mx1,S3,Surgery,Drop S3,7,2,2,3,3,1.0025518571309702,1.1771398903241583,-0.25891452336723164,-0.14087043518004716,2.264018237629172,2.495150215828364,2.176447407963427,2.3661785915832714,NA,NA,TRUE,TRUE,0.17458803319318816,TRUE
Ifit1,(none),NA,Full cohort,1,3,3,3,3,1.394733751021625,1.377181540367126,-1.6110195727677024,-1.6401070994542537,4.400487074810952,4.394470180188506,1.169285253779402,1.163662198354118,0.3,0.3,FALSE,FALSE,-0.017552210654498968,TRUE
Ifit1,C1,Control,Drop C1,2,3,3,2,2,1.3977096896185726,1.3884780812159163,-2.6432080464531076,-2.5270884887593206,5.438627425690253,5.304044651191154,1.014796118229578,1.0160967723631589,NA,NA,FALSE,FALSE,-0.009231608402656244,TRUE
Ifit1,C2,Control,Drop C2,3,3,3,2,2,0.9759063320545133,0.9689692944153525,-2.178694035050008,-2.200226866486049,4.130506699159034,4.138165455316754,0.7848232947431892,0.7822784389373746,NA,NA,FALSE,FALSE,-0.006937037639160759,TRUE
Ifit1,C3,Control,Drop C3,4,3,3,2,2,1.810585231391789,1.774097245470109,-1.3419763413670323,-1.3817739993032099,4.96314680415061,4.929968490243428,1.4537380671681903,1.4238668625889228,NA,NA,FALSE,FALSE,-0.03648798592168001,TRUE
Ifit1,S1,Surgery,Drop S1,5,2,2,3,3,1.355678065151814,1.3360843411175225,-11.552198109496523,-11.850768919461437,14.26355423980015,14.522937601696484,0.9850671643018833,0.9785733133907062,NA,NA,FALSE,FALSE,-0.019593724034291604,TRUE
Ifit1,S2,Surgery,Drop S2,6,2,2,3,3,2.146432038005363,2.1304668181700754,-1.3819453760730083,-1.4443512900978228,5.674809452083735,5.705284926437974,2.4509348820803645,2.48900711250186,NA,NA,TRUE,TRUE,-0.01596521983528776,TRUE
Ifit1,S3,Surgery,Drop S3,7,2,2,3,3,0.6820911499076974,0.6649934618137803,-3.872782083509019,-4.037903204694406,5.236964383324414,5.367890128321966,0.7265593916476341,0.7199729057899305,NA,NA,FALSE,FALSE,-0.017097688093917096,TRUE
Ifit2,(none),NA,Full cohort,1,3,3,3,3,1.2582933924717314,1.258605439058646,0.5274317733378792,0.49422223899658857,1.9891550116055838,2.0229886391207037,4.063873094851971,3.7335389887219224,0.1,0.1,TRUE,TRUE,3.1204658691463827e-4,TRUE
Ifit2,C1,Control,Drop C1,2,3,3,2,2,1.397787340190503,1.4246697165176794,0.622184608570203,0.584819519765994,2.173390071810803,2.264519913269365,4.687770216411213,4.589323141368442,NA,NA,TRUE,TRUE,0.026882376327176383,TRUE
Ifit2,C2,Control,Drop C2,3,3,3,2,2,1.2303322858729882,1.25950923296366,-0.01482834604795813,-0.6981760672348154,2.475492917793934,3.217194533162135,3.462453222987254,3.2356788873471825,NA,NA,TRUE,TRUE,0.029176947090671757,TRUE
Ifit2,C3,Control,Drop C3,4,3,3,2,2,1.1467605513517034,1.091637367694599,0.2942432463049942,0.2602951868409866,1.9992778563984126,1.9229795485482113,3.574080176580244,3.5275530983992516,NA,NA,TRUE,TRUE,-0.055123183657104446,TRUE
Ifit2,S1,Surgery,Drop S1,5,2,2,3,3,1.1692840630926329,1.1582369974320428,-1.0873827501519966,-0.4564450567715248,3.4259508763372626,2.7729190516356104,3.4941916108626345,3.195520728835114,NA,NA,TRUE,TRUE,-0.011047065660590105,TRUE
Ifit2,S2,Surgery,Drop S2,6,2,2,3,3,1.4629639594427986,1.4555453979812119,0.8534222513692331,0.6286942636229731,2.072505667516364,2.2823965323394506,6.970698575487077,5.352441675848594,NA,NA,TRUE,TRUE,-0.0074185614615867035,TRUE
Ifit2,S3,Surgery,Drop S3,7,2,2,3,3,1.1426321548797624,1.1620339217626836,-0.798034468584039,-0.48641706159744547,3.083298778343564,2.810484905122813,3.5941094395544773,3.1879025158246614,NA,NA,TRUE,TRUE,0.019401766882921168,TRUE
Ifit3,(none),NA,Full cohort,1,3,3,3,3,0.8160760239986105,0.7911459655407671,-1.7908933202253623,-1.8366571181214653,3.423045368222583,3.4189490492029995,0.9313022537933789,0.9023672868520564,0.5,0.5,FALSE,FALSE,-0.02493005845784335,TRUE
Ifit3,C1,Control,Drop C1,2,3,3,2,2,0.9722057343853261,0.9554330681452416,-1.5892065201874828,-1.6474252529049491,3.533617988958135,3.5582913891954324,0.9845630619627018,0.9696313648542224,NA,NA,FALSE,FALSE,-0.016772666240084444,TRUE
Ifit3,C2,Control,Drop C2,3,3,3,2,2,0.5973064844587843,0.5828283889821955,-2.252145348285834,-2.2354467301414447,3.4467583172034026,3.4011035081058356,0.6200156072378127,0.6017447418357068,NA,NA,FALSE,FALSE,-0.014478095476588848,TRUE
Ifit3,C3,Control,Drop C3,4,3,3,2,2,0.8787158531517214,0.8351764394948633,-1.6535530211862257,-1.7045095480223535,3.4109847274896685,3.37486242701208,0.8717861702260316,0.8265300452775579,NA,NA,FALSE,FALSE,-0.043539413656858095,TRUE
Ifit3,S1,Surgery,Drop S1,5,2,2,3,3,1.1390687261715984,1.118453067877088,-9.828653730431416,-9.946398325459212,12.106791182774614,12.183304461213387,1.2616199784298272,1.242228015605104,NA,NA,FALSE,FALSE,-0.020615658294510286,TRUE
Ifit3,S2,Surgery,Drop S2,6,2,2,3,3,1.1718849433300806,1.1450161618238592,-9.33392024739072,-9.546648303976427,11.677690134050883,11.836680627624146,1.334959568889595,1.3011037201487048,NA,NA,FALSE,FALSE,-0.026868781506221406,TRUE
Ifit3,S3,Surgery,Drop S3,7,2,2,3,3,0.13727440249415235,0.10996866692135443,-0.8056379428007913,-0.816429352816824,1.0801867477890958,1.036366686659533,0.4292654295254613,0.3532630941080104,NA,NA,FALSE,FALSE,-0.027305735572797918,TRUE
