outcome_type,outcome,primary_combined_exposure_mean,gse289098_combined_exposure_mean,primary_oxygen_control_mean,gse289098_oxygen_control_mean,primary_mean_difference,gse289098_mean_difference,primary_mean_difference_ci95_low,gse289098_mean_difference_ci95_low,primary_mean_difference_ci95_high,gse289098_mean_difference_ci95_high,primary_welch_se,gse289098_welch_se,primary_welch_df,gse289098_welch_df,primary_cohens_d,gse289098_cohens_d,primary_exact_permutation_hits,gse289098_exact_permutation_hits,primary_exact_permutation_allocations,gse289098_exact_permutation_allocations,primary_exact_permutation_p,gse289098_exact_permutation_p,primary_perfect_group_separation,gse289098_perfect_group_separation,alternative_minus_primary_difference,sign_concordant
gene,Irf7,3.675359940742555,3.681811263879571,2.536607921016485,2.550064158577377,1.1387520197260699,1.131747105302194,-2.558541081349739,-2.567370128046023,4.836045120801879,4.830864338650411,0.8669776967390119,0.8714778785723689,2.0187529137536835,2.0287999327863884,1.0724464240869325,1.0603454943318524,8,8,20,20,0.4,0.4,FALSE,FALSE,-0.007004914423875963,TRUE
gene,Ifitm3,5.352391577871177,5.352724414656631,4.456653531639148,4.456265196224414,0.8957380462320286,0.8964592184322173,-3.090738771387011,-3.112278173285314,4.882214863851068,4.905196610149749,1.1032668077617973,1.1069159882651007,2.4630284287125135,2.4554033405486364,0.6629104102561197,0.6612569468241769,12,12,20,20,0.6,0.6,FALSE,FALSE,7.211722001887466e-4,TRUE
gene,Isg15,5.014197405375247,5.004908724066877,4.402984023573457,4.323593115637635,0.6112133818017904,0.6813156084292418,-1.8363537880021354,-1.68521586033467,3.0587805516057163,3.0478470771931536,0.6848381491942939,0.6782799757856964,2.5007037494043383,2.588168076735956,0.7287176350288997,0.8201508000745263,12,12,20,20,0.6,0.6,FALSE,FALSE,0.07010222662745136,TRUE
gene,Mx1,1.9623693807156486,1.9778182235937805,0.5971602687047667,0.42620073971058176,1.365209112010882,1.5516174838831986,-0.03380886899724689,0.09469838294501876,2.764227093019011,3.0085365848213783,0.4874560840197665,0.5137893081276143,3.6925388973735243,3.7980891544723816,2.286746660367996,2.4657779958777275,2,2,20,20,0.1,0.1,TRUE,TRUE,0.18640837187231662,TRUE
gene,Ifit1,1.7759765557320073,1.7791505373704288,0.3812428047103824,0.40196899700330285,1.394733751021625,1.377181540367126,-1.6110195727677024,-1.6401070994542537,4.400487074810952,4.394470180188506,0.9739243143046639,0.9663148125091436,3.1735329790340523,3.1049122305314376,1.169285253779402,1.163662198354118,6,6,20,20,0.3,0.3,FALSE,FALSE,-0.017552210654498968,TRUE
gene,Ifit2,2.3317347607777896,2.3162735446807865,1.0734413683060582,1.0576681056221404,1.2582933924717314,1.258605439058646,0.5274317733378792,0.49422223899658857,1.9891550116055838,2.0229886391207037,0.25281110624704223,0.2752474370383398,3.632136284815478,3.9976950812443377,4.063873094851971,3.7335389887219224,2,2,20,20,0.1,0.1,TRUE,TRUE,3.1204658691463827e-4,TRUE
gene,Ifit3,3.5099211177739513,3.5060436716771948,2.693845093775341,2.7148977061364277,0.8160760239986105,0.7911459655407671,-1.7908933202253623,-1.8366571181214653,3.423045368222583,3.4189490492029995,0.7154747888324025,0.7158592574120074,2.4351512032684557,2.4110151586578388,0.9313022537933789,0.9023672868520564,10,10,20,20,0.5,0.5,FALSE,FALSE,-0.02493005845784335,TRUE
panel,author_selected_isg7,3.3745643912840535,3.3741043399893242,2.3059907159608053,2.2758082884159827,1.0685736753232482,1.0982960515733415,-1.6383376896954465,-1.6186783540244725,3.775485040341943,3.8152704571711555,0.6586055173095163,0.6558979669908631,2.101187557266306,2.0830495112007283,1.3247486233261767,1.3672171832917834,4,4,20,20,0.2,0.2,FALSE,FALSE,0.02972237625009333,TRUE
