sample,group,primary_panel_mean_log2_cpm,integrated_panel_mean_log2_cpm,integrated_minus_primary_panel_value
C1,Control,2.2386287029118845,2.208944042396271,-0.02968466051561336
C2,Control,2.1701928892129994,2.15788321954627,-0.012309669666729306
C3,Control,2.5091505557575324,2.460597603305407,-0.04855295245212554
S1,Surgery,3.0995847018265072,3.101640292974023,0.002055591147515745
S2,Surgery,2.410942522991778,2.410942522991778,0.0
S3,Surgery,4.613165949033876,4.6097302040021715,-0.003435745031704407
