estimand,contrast,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,fdr_lt_0_05,nes_rank_descending,absolute_nes_rank,hallmark_display,hallmark_order,interpretation,limitation
time_by_treatment,(48 h exposure − 48 h control) − (6 h exposure − 6 h control),HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,92,0.6033782211115082,2.624158343520711,2.9255319877419276e-12,7.313829969354819e-11,5.5431132399320733e-11,3053,"tags=48%, list=14%, signal=41%",Psmb9/Ifit3/Mx2/Lgals3bp/Wars1/Ifit2/Ifitm3/B2m/Samd9l/Tap1/Oas1a/Lpar6/Batf2/Epsti1/Trim21/Ifih1/Ogfr/Bst2/Irf9/Dhx58/Il7/Gmpr/Csf1/Ifi30/Cxcl10/Irf1/Rsad2/Parp9/Ly6e/Psme2/Rnf31/Tdrd7/Usp18/C1s1/Cd47/Trim14/Lap3/Rtp4/Nub1/Psme1/Cnp/Herc6/Irf7/Ifi35,TRUE,1,1,Interferon alpha response,1,Positive NES means the treatment-associated contrast is more positive in the deposited 48 h experiment than in the deposited 6 h experiment,Between-experiment interaction; different animals; time is inseparable from deposited matrix and any unrecorded time-aligned processing or sequencing-batch effects
time_by_treatment,(48 h exposure − 48 h control) − (6 h exposure − 6 h control),HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,180,0.492424763410377,2.365226167247039,4.715520540825332e-13,2.357760270412666e-11,1.7869340996811784e-11,3511,"tags=41%, list=16%, signal=35%",Psmb9/Ifit3/Mx2/Lgals3bp/Pla2g4a/Mvp/Wars1/Mthfd2/Eif4e3/Il10ra/Ifit2/Ifitm3/B2m/Irf4/Samd9l/Slamf7/Tap1/Batf2/Nampt/Epsti1/Trim21/Ifih1/Fgl2/St3gal5/Ogfr/Icam1/Bank1/Ptgs2/Bst2/H2-DMa/Ifnar2/Irf9/Apol6/Dhx58/Il7/Ifi30/Cxcl10/Irf1/Rsad2/Hif1a/Tapbp/Ptpn2/Pim1/Pde4b/Ly6e/Rnf213/Stat1/Psme2/Rnf31/Tdrd7/Rapgef6/Ptpn6/Psmb2/Usp18/Cfh/Irf8/C1s1/Oas2/Trim14/Tor1b/Cdkn1a/Lap3/Rtp4/Psme1/Herc6/Irf7/Ifi35/Itgb7/Fcgr1/Oas3/Pml/Irf5/Rigi/Cd69,TRUE,2,2,Interferon gamma response,2,Positive NES means the treatment-associated contrast is more positive in the deposited 48 h experiment than in the deposited 6 h experiment,Between-experiment interaction; different animals; time is inseparable from deposited matrix and any unrecorded time-aligned processing or sequencing-batch effects
time_by_treatment,(48 h exposure − 48 h control) − (6 h exposure − 6 h control),HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,185,0.2789586666538124,1.3432884692591072,0.02952300822261043,0.11355003162542474,0.08605897133716402,3981,"tags=29%, list=19%, signal=24%",Il6st/Cd83/Smad3/Nfkbie/Slc16a6/Nfkb2/Tlr2/F3/Plau/Ifit2/Tap1/Nampt/Marcks/Relb/Pdlim5/Ifih1/Tubb2a/Litaf/Icam1/Ptpre/Ptgs2/Csf1/Abca1/Pmepa1/Cxcl10/Irf1/Tiparp/Tnf/Pde4b/Ccnd1/Cxcl2/Gpr183/Plek/Nfat5/Cdkn1a/Tgif1/Btg3/Tsc22d1/Sat1/Clcf1/Rigi/Cd69/Stat5a/Tnip2/Tnfaip3/Dram1/Plk2/Rel/Atp2b1/Slc2a6/Jag1/Tnfaip6/Bcl6,FALSE,15,16,TNFA signaling via NF-kB,3,Positive NES means the treatment-associated contrast is more positive in the deposited 48 h experiment than in the deposited 6 h experiment,Between-experiment interaction; different animals; time is inseparable from deposited matrix and any unrecorded time-aligned processing or sequencing-batch effects
time_by_treatment,(48 h exposure − 48 h control) − (6 h exposure − 6 h control),HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,179,0.3565581831122081,1.708914471375484,7.737301742926637e-5,0.001289550290487773,9.77343378053891e-4,3728,"tags=31%, list=17%, signal=26%",Csf3r/Il1r1/Ptafr/Axl/Ebi3/Lpar1/Tlr2/F3/Gna15/Il10ra/Nampt/Clec5a/Acvr2a/Rhog/Adgre1/Cd48/Gnai3/Icam1/Ptpre/Irak2/Bst2/Csf1/Abca1/Emp3/Mmp14/Cxcl10/Irf1/Hif1a/Tapbp/Pde4b/Ly6e/Ifnar1/Scn1b/Hrh1/Cd82/Cybb/Osmr/Nod2/Gpr183/Chst2/Sema4d/Hpn/Slc11a2/Cdkn1a/Rtp4/Has2/Marco/Best1/Irf7/Cd69/C3ar1/Osm/Slc28a2/P2rx4/Atp2b1,TRUE,5,5,Hallmark inflammatory-response gene set,4,Positive NES means the treatment-associated contrast is more positive in the deposited 48 h experiment than in the deposited 6 h experiment,Between-experiment interaction; different animals; time is inseparable from deposited matrix and any unrecorded time-aligned processing or sequencing-batch effects
