scenario_order,scenario,omitted_animal,omitted_group,n_combined_exposure,n_oxygen_control,selected_component_combined_exposure_mean,selected_component_oxygen_control_mean,selected_component_mean_difference,matched_control_component_combined_exposure_mean,matched_control_component_oxygen_control_mean,matched_control_component_mean_difference,score_combined_exposure_mean,score_oxygen_control_mean,score_mean_difference,contrast_identity_residual,inference_status
1,Full cohort,(none),,3,3,0.0967008821611054,0.0392102360802587,0.0574906460808467,0.09196120298774667,0.08096526808503339,0.010995934902713278,0.004739679173358731,-0.041755032004774685,0.04649471117813342,0.0,Fixed-score descriptive component decomposition; same six animals
2,Omit C1,C1,Oxygen control,3,2,0.0967008821611054,0.042935389795360115,0.05376549236574528,0.09196120298774667,0.07946103136583255,0.012500171621914122,0.004739679173358731,-0.036525641570472424,0.04126532074383116,0.0,"Fixed-score descriptive component decomposition after one animal omission; influence diagnostic, not replication"
3,Omit C2,C2,Oxygen control,3,2,0.0967008821611054,0.035864127458068856,0.06083675470303654,0.09196120298774667,0.08308279939305262,0.008878403594694051,0.004739679173358731,-0.04721867193498376,0.051958351108342495,6.938893903907228e-18,"Fixed-score descriptive component decomposition after one animal omission; influence diagnostic, not replication"
4,Omit C3,C3,Oxygen control,3,2,0.0967008821611054,0.038831190987347136,0.05786969117375826,0.09196120298774667,0.080351973496215,0.011609229491531661,0.004739679173358731,-0.04152078250886787,0.046260461682226604,6.938893903907228e-18,"Fixed-score descriptive component decomposition after one animal omission; influence diagnostic, not replication"
5,Omit S1,S1,Combined exposure,2,3,0.11923931193045118,0.0392102360802587,0.08002907585019248,0.09261643854357929,0.08096526808503339,0.011651170458545898,0.02662287338687188,-0.041755032004774685,0.06837790539164657,-1.3877787807814457e-17,"Fixed-score descriptive component decomposition after one animal omission; influence diagnostic, not replication"
6,Omit S2,S2,Combined exposure,2,3,0.12635910929245145,0.0392102360802587,0.08714887321219275,0.09091825064407073,0.08096526808503339,0.009952982559037343,0.03544085864838071,-0.041755032004774685,0.0771958906531554,-1.3877787807814457e-17,"Fixed-score descriptive component decomposition after one animal omission; influence diagnostic, not replication"
7,Omit S3,S3,Combined exposure,2,3,0.044504225260413546,0.0392102360802587,0.005293989180154848,0.09234891977558995,0.08096526808503339,0.011383651690556565,-0.047844694515176395,-0.041755032004774685,-0.00608966251040171,6.938893903907228e-18,"Fixed-score descriptive component decomposition after one animal omission; influence diagnostic, not replication"
