sample,source_group,core_isg7_score,ieg13_score
C1,Control,-0.0522138128733792,1.7751541084105311
C2,Control,-0.030827752144356537,1.6739869458294787
C3,Control,-0.042223530996588314,1.7012815430049568
S1,Surgery,-0.039026709253667566,1.976576176953393
S2,Surgery,-0.056662679776685224,1.8755897589975734
S3,Surgery,0.10990842655042898,1.7396108031976292
