dropped_animal,n_surgery,n_control,surgery_mean,control_mean,mean_difference,cohens_d,exact_perm_p,allcell_mean_difference,allcell_cohens_d,allcell_exact_perm_p,delta_mean_difference,delta_cohens_d,sign_same
(none),3,3,3.3745643912840535,2.3059907159608053,1.0685736753232482,1.3247486233261767,0.2,1.066003929153014,1.3023104158058874,0.2,0.0025697461702343105,0.022438207520289355,TRUE
C1,3,2,3.3745643912840535,2.339671722485266,1.0348926687987876,1.1125603910747326,NA,1.0302373084089198,1.0915569383498045,NA,0.004655360389867802,0.021003452724928096,TRUE
C2,3,2,3.3745643912840535,2.3738896293347085,1.000674761949345,1.0801222241288868,NA,0.9863090647178052,1.0510154543685353,NA,0.014365697231539798,0.029106769760351536,TRUE
C3,3,2,3.3745643912840535,2.204410796062442,1.1701535952216116,1.2715414562772422,NA,1.1814654143323162,1.2690737835947503,NA,-0.011311819110704668,0.002467672682491928,TRUE
S1,2,3,3.5120542360128266,2.3059907159608053,1.2060635200520213,1.3240536089319446,NA,1.205808830164242,1.3046098826935906,NA,2.5468988777932466e-4,0.019443726238353998,TRUE
S2,2,3,3.8563753254301916,2.3059907159608053,1.5503846094693863,2.4415084774612774,NA,1.552761728133937,2.3974040384239457,NA,-0.0023771186645507036,0.044104439037331744,TRUE
S3,2,3,2.7552636124091423,2.3059907159608053,0.449272896448337,1.4175006327489885,NA,0.43944122916086226,1.3359403887625094,NA,0.009831667287474755,0.0815602439864791,TRUE
