sample,sample_order,source_group,display_group,n_cells,selected_component,matched_control_component,score,component_identity_residual
C1,1,Control,Oxygen control,1134,0.031759928650055884,0.08397374152343509,-0.0522138128733792,6.938893903907228e-18
C2,2,Control,Oxygen control,917,0.045902453324638395,0.07673020546899494,-0.030827752144356537,3.469446951953614e-18
C3,3,Control,Oxygen control,1272,0.03996832626608183,0.08219185726267014,-0.042223530996588314,0.0
S1,4,Surgery,Combined exposure,1305,0.05162402262241382,0.09065073187608139,-0.039026709253667566,0.0
S2,5,Surgery,Combined exposure,1601,0.03738442789841328,0.09404710767509851,-0.056662679776685224,6.938893903907228e-18
S3,6,Surgery,Combined exposure,1142,0.20109419596248906,0.09118576941206008,0.10990842655042898,0.0
