seed_a,seed_b,ari
0,1,0.49092414553881564
0,7,0.5858529047117915
0,42,0.5127939875974998
0,123,0.4033111527516049
0,2024,0.5165138553705313
1,7,0.6457588186483372
1,42,0.408352490092331
1,123,0.7142856983980413
1,2024,0.4461221457000964
7,42,0.5392338031489431
7,123,0.5919823963927185
7,2024,0.6047913173431048
42,123,0.364530891923689
42,2024,0.6914729696711854
123,2024,0.4229903235775568
