dropped_animal,n_surgery,n_control,ID,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,core_enrichment,allcell_setSize,allcell_NES,allcell_pvalue,allcell_p_adjust,delta_NES_scrublet_negative_minus_allcell,sign_same,fdr05_same
C2,3,2,HALLMARK_TNFA_SIGNALING_VIA_NFKB,176,-0.4473580474567773,-2.125326087762901,2.742508880233086e-9,1.371254440116543e-7,8.949239503918492e-8,Litaf/Dnajb4/Ninj1/Slc2a3/Maff/Pmepa1/Cflar/Abca1/Marcks/Nfil3/Bcl6/Cebpb/Trib1/Eif1/Il1a/Cd44/Gch1/Vegfa/Klf4/Nfkbie/Btg3/Rel/Tnfaip2/Nfkb1/Areg/Pde4b/Sat1/Ets2/Irs2/Dennd5a/B4galt1/Kdm6b/Id2/Csf1/Il6/Plau/Gem/Cd83/Ccrl2/Nr4a3/Fosb/Ptgs2/Cxcl10/Plaur/Ccl5/Rnf19b/Nr4a1/Bcl2a1d/Tnfaip3,176,-2.107809196694061,8.373610849223777e-9,4.1868054246118884e-7,-0.017516891068840135,TRUE,TRUE
C2,3,2,HALLMARK_INFLAMMATORY_RESPONSE,145,-0.32987086336916965,-1.5208079366619156,0.0023033409948276435,0.010469731794671108,0.0068328775923116696,Rela/Sema4d/Clec5a/Gpr132/Lyn/Ebi3/Abca1/Nlrp3/Cd82/Il1a/Gch1/Nfkb1/Ptafr/Pde4b/Tpbg/Dcbld2/Cd14/Csf1/Il6/Itga5/Ccrl2/Cxcl9/Cxcl10/Plaur/Ccl5,145,-1.5439724231972238,0.00335627537540438,0.01290875144386303,0.023164486535308226,TRUE,TRUE
C3,3,2,HALLMARK_INTERFERON_ALPHA_RESPONSE,86,0.4253579756428841,1.8119226825394552,1.6472143174822124e-4,0.0010295089484263827,5.851945601581545e-4,Irf9/Ifit2/Dhx58/Trim21/Ogfr/Irf1/Eif2ak2/Usp18/Rtp4/Stat2/Cmpk2/Gmpr/Cnp/Tap1/Mov10/Irf7/Parp14/Trim14/Lgals3bp/Adar/Oas1a/Tmem140/Oasl1/Ifit3/Trafd1/Lpar6/Rnf31/Ifitm3/Parp9/Trim12c/Sp110/Ifih1/Isg15/Rsad2,86,1.837380219486081,2.110325776294483e-4,0.00105516288814724,-0.02545753694662589,TRUE,TRUE
C3,3,2,HALLMARK_INTERFERON_GAMMA_RESPONSE,165,0.2670968462218375,1.2735580296812052,0.04911107481691179,0.10676320612372128,0.0606864540071679,Socs1/Mthfd2/Irf9/Ptpn6/Ifit2/Dhx58/Trim21/Rapgef6/Ogfr/Irf1/Eif2ak2/Usp18/Tor1b/Mvp/Rtp4/Stat2/Cmpk2/Pla2g4a/Irf8/Tap1/Znfx1/Irf7/Parp14/Auts2/Trim14/Lgals3bp/Adar/Oasl1/Xaf1/Ifit3/Trafd1/Rnf31/Ifitm3/Zbp1/Rnf213/Stat1/Sp110/Ifih1/Isg15/Pml/Rsad2,165,1.2749942361897872,0.04501562440912635,0.1071800581169675,-0.0014362065085820053,TRUE,TRUE
C3,3,2,HALLMARK_TNFA_SIGNALING_VIA_NFKB,176,-0.5464453830622762,-2.593901841544663,1.3599407478715438e-16,6.799703739357719e-15,3.865094757108599e-15,Edn1/Abca1/F3/Tnfaip8/Il18/Dusp1/Gem/Ptger4/B4galt5/Serpine1/Vegfa/Litaf/Nfkbie/Maff/Marcks/Tgif1/Ninj1/Rcan1/Slc2a3/Fosl1/Bcl6/Zbtb10/Areg/Nr4a2/Nfkb1/Cflar/Btg1/Sdc4/Tnfaip2/Sat1/Ehd1/Eif1/Mcl1/Rel/Btg3/Plek/Dennd5a/Nfil3/Trib1/Il1a/Gch1/Klf4/Irs2/Ccl5/Fosl2/Cd44/Il6/B4galt1/Plau/Fosb/Kdm6b/Csf1/Cebpb/Cd83/Ets2/Ccrl2/Plaur/Rnf19b/Pde4b/Nr4a3/Tnfaip3/Nr4a1/Id2/Ptgs2/Bcl2a1d/Cxcl10,176,-2.583952822575832,2.608972457562047e-16,1.3044862287810236e-14,-0.009949018968831158,TRUE,TRUE
C3,3,2,HALLMARK_INFLAMMATORY_RESPONSE,145,-0.43398904026899127,-2.000934829530512,2.9108040910623523e-7,2.9108040910623525e-6,1.6545623254459688e-6,Mefv/Gpr183/Atp2b1/Sri/Slc31a1/Il1r1/Cdkn1a/Gabbr1/Cd40/Abi1/Il1b/Lcp2/Rasgrp1/Tnfrsf1b/Ccl7/Rela/Tnfsf9/P2ry2/Edn1/Gpr132/Abca1/F3/Il18/Kcna3/Cd82/Ptger4/Serpine1/Cybb/Ccl24/Emp3/Clec5a/Osm/Calcrl/Lyn/Nfkb1/Ahr/Pvr/Ptafr/Il1a/Gch1/Cxcl9/Tpbg/Ccl5/Il6/Nlrp3/Dcbld2/Rgs1/Csf1/Itga5/Cd14/Ccrl2/Plaur/Pde4b/Cxcl10,145,-1.9733642407680847,1.641614958053254e-6,1.641614958053254e-5,-0.02757058876242713,TRUE,TRUE
S1,2,3,HALLMARK_INTERFERON_ALPHA_RESPONSE,86,0.5769801720706461,2.450518759783177,1.7860556005126588e-10,4.465139001281647e-9,2.726084863940374e-9,Usp18/Irf9/Dhx58/Ifit3/Rtp4/Eif2ak2/Ogfr/Ifit2/Sp110/Cmpk2/Stat2/Oas1a/Lgals3bp/Parp14/Irf1/Irf7/Rsad2/Tap1/Rnf31/Ifitm3/Psme2/Adar/Trafd1/Parp9/Mov10/Uba7/Ifitm1/Ifi35/Oasl1/Parp12/Psme1/Isg15/Cnp/Trim14/Trim12c/Trim21/Isg20/Tmem140/Gmpr/Bst2/Herc6/Wars1,86,2.490426656662725,5.367899228357441e-11,1.3419748070893603e-9,-0.03990789687954788,TRUE,TRUE
S1,2,3,HALLMARK_INTERFERON_GAMMA_RESPONSE,165,0.3930741927433956,1.8705703975200019,8.632184754059002e-6,1.438697459009834e-4,8.783626591849511e-5,Mthfd2/Usp18/Irf9/Dhx58/Xaf1/Socs1/Ifit3/Rtp4/Eif2ak2/Ogfr/Ifit2/Sp110/Cmpk2/Stat2/Cmklr1/Lgals3bp/Mvp/Parp14/Ptpn6/Irf1/Rapgef6/Irf7/Stat1/Rsad2/Tap1/Rnf31/Pla2g4a/Ifitm3/Psme2/Adar/Znfx1/Zbp1/Trafd1/Pml/Il18bp/Rnf213/Ifi35/Oasl1/Parp12/Psme1/Isg15/Tor1b/Trim14/Trim21/Isg20,165,1.8832727921069368,2.5281942619233977e-6,4.213657103205663e-5,-0.012702394586934895,TRUE,TRUE
S1,2,3,HALLMARK_TNFA_SIGNALING_VIA_NFKB,176,-0.5431450202228301,-2.544061941440811,1.124043747726319e-15,5.620218738631595e-14,3.431291440427711e-14,Phlda1/Plek/F3/B4galt5/Ehd1/Tnfsf9/Ptger4/Nr4a2/Fosl1/Trib1/Ninj1/Mcl1/Marcks/Rcan1/Btg1/Vegfa/Litaf/Tgif1/Tnfaip2/Cflar/Sat1/Il1a/Btg3/Klf4/Areg/Cebpb/Eif1/Cd44/Zbtb10/Nfil3/Nfkb1/Nfkbie/Il6/Irs2/Kdm6b/Dennd5a/B4galt1/Sdc4/Ets2/Maff/Gem/Id2/Fosl2/Gch1/Csf1/Rel/Gadd45b/Plau/Pde4b/Ccl5/Fosb/Bcl6/Plaur/Ccrl2/Nr4a1/Cxcl10/Nr4a3/Dusp2/Cd83/Rnf19b/Ptgs2/Tnfaip3/Bcl2a1d,176,-2.5174507709060174,2.257566857432404e-15,1.128783428716202e-13,-0.026611170534793782,TRUE,TRUE
S1,2,3,HALLMARK_INFLAMMATORY_RESPONSE,145,-0.3640364371437524,-1.660160364712711,4.160083098928903e-4,0.0026000519368305644,0.00158740012985445,P2ry2/Abca1/Il18/Cybb/Il1r1/Gnai3/F3/Lyn/Pvr/Bdkrb1/Tnfsf9/Ptger4/Calcrl/Cd82/Gpr132/Ahr/Ptafr/Clec5a/Il1a/Nlrp3/Rgs1/Tpbg/Nfkb1/Il6/Itga5/Cxcl9/Dcbld2/Cd14/Gch1/Csf1/Pde4b/Ccl5/Plaur/Ccrl2/Cxcl10,145,-1.6016826005906766,0.00169877821539208,0.00653376236689262,-0.058477764122034426,TRUE,TRUE
S2,2,3,HALLMARK_INTERFERON_ALPHA_RESPONSE,86,0.6291467165993658,2.654765364637979,1.9907587539009112e-13,9.953793769504556e-12,5.8674994851816336e-12,Usp18/Irf9/Dhx58/Eif2ak2/Ifit2/Irf1/Rtp4/Ogfr/Irf7/Tap1/Rnf31/Trim12c/Parp9/Il4ra/Adar/Parp14/Cmpk2/Stat2/Oas1a/Oasl1/Ifitm3/Lgals3bp/Psme2/Ifit3/Trafd1/Ifi35/Ifi30/Bst2/Rsad2/Herc6/Trim25/Ifih1/Isg15/Trim21/Ifi27/Psme1/Gmpr/Mov10/Sp110/Epsti1/Ripk2/Ifitm1/Lpar6/Uba7/Parp12/Tmem140/Trim14/Slc25a28/Tent5a/Isg20/Wars1,86,2.730091742263694,1.1130144861617423e-14,5.565072430808712e-13,-0.0753263776257147,TRUE,TRUE
S2,2,3,HALLMARK_INTERFERON_GAMMA_RESPONSE,165,0.4592710086707656,2.1636214207718956,1.4412745142723715e-9,3.6031862856809286e-8,2.1239834947171793e-8,Usp18/Irf9/Mthfd2/Dhx58/Mvp/Ptpn6/Socs1/Eif2ak2/Xaf1/Ifit2/Irf1/Rtp4/Ogfr/Irf7/Tap1/Pla2g4a/Rnf31/Znfx1/Il4ra/Adar/Parp14/Rnf213/Cmpk2/Stat2/Irf8/Oasl1/Myd88/Ifitm3/Lgals3bp/Stat1/Psme2/Zbp1/Ifit3/Trafd1/Ifi35/Ifi30/Bst2/Rsad2/Tor1b/Herc6/Rapgef6/Pml/H2-DMa/Trim25/Ifih1/Fcgr1/Isg15/Trim21/Ifi27/Itgb7/Psme1/Sp110/Cmklr1/Epsti1/Rigi/Ripk2/Isoc1/Parp12/Nod1/Il18bp/Rbck1/Trim14/Nfkbia,165,2.1894331757622294,3.27549939060591e-10,8.188748476514776e-9,-0.025811754990333835,TRUE,TRUE
S2,2,3,HALLMARK_TNFA_SIGNALING_VIA_NFKB,176,-0.44967739489070885,-2.1162956313141215,3.099869562234205e-9,5.166449270390342e-8,3.045485885703781e-8,Il7r/Abca1/Atf3/Bhlhe40/Fjx1/Olr1/Plpp3/Ehd1/Hes1/Ptger4/Litaf/Sdc4/Marcks/Rela/Nr4a2/Fosl1/Maff/Klf9/F3/Mcl1/Cflar/Rcan1/Zbtb10/Bcl6/Per1/Slc2a3/Fosl2/Areg/Nfkbie/Trib1/Btg1/Nfkb1/Eif1/Il1a/Nfil3/Plek/Sat1/Gem/Gch1/Cebpb/Btg3/Dennd5a/Tnfaip2/Ninj1/Ptgs2/Pde4b/Rel/Kdm6b/Ccl5/Edn1/Ets2/Sgk1/Irs2/Cd44/Csf1/Id2/B4galt1/Cd83/Gpr183/Ccrl2/Nr4a3/Vegfa/Plaur/Klf4/Cxcl10/Plau/Nr4a1/Bcl2a1d/Tnfaip3/Il6/Rnf19b/Serpine1/Fosb,176,-2.1277573113334944,3.4002464477880213e-9,5.6670774129800354e-8,0.011461680019372977,TRUE,TRUE
S2,2,3,HALLMARK_INFLAMMATORY_RESPONSE,145,-0.352147855991311,-1.6088134628468154,0.0012723367450123142,0.005783348840965065,0.003409131948358354,Rela/Ebi3/Lyn/Ccl24/Cd82/Clec5a/Abi1/F3/Pvr/Gabbr1/Calcrl/Slc4a4/Cybb/Ahr/Cd14/Nfkb1/Il1a/Gpr132/Nlrp3/Gch1/Tpbg/Ptafr/Rgs1/Pde4b/Ccl5/Edn1/Cxcl9/Csf1/Gpr183/Ccrl2/Itga5/Plaur/Cxcl10/Dcbld2/Il6/Serpine1,145,-1.6024369780690475,0.00142231274199131,0.00592630309163047,-0.006376484777767866,TRUE,TRUE
S3,2,3,HALLMARK_INTERFERON_ALPHA_RESPONSE,86,-0.27666663261237234,-1.0980796478089612,0.28885400313971743,0.34387381326156835,0.15926787140535797,Ube2l6/Ly6e/Parp12/Epsti1/Bst2/Cd74/Casp8/Psmb8/Mvb12a/Psma3/Txnip/Psmb9/Lap3/Cd47/B2m/Cxcl10/Ccrl2/Csf1,86,-1.070754528402916,0.3415384615384615,0.4165103189493433,-0.027325119406045095,TRUE,TRUE
S3,2,3,HALLMARK_INTERFERON_GAMMA_RESPONSE,165,-0.35981833007573594,-1.5687526569525392,8.690414570736918e-4,0.0033424671425911225,0.0015480900449895724,Ube2l6/Ly6e/Nfkbia/Ifnar2/Lcp2/Parp12/Pim1/Epsti1/Ptpn1/Ptpn2/Bst2/Btg1/Nampt/Psmb2/Cxcl9/Ccl7/Psmb10/Cd74/Peli1/Cdkn1a/Casp8/Sri/Psmb8/Psma3/Txnip/Gpr18/Psmb9/Marchf1/Il10ra/Lap3/Casp4/Psma2/Ptgs2/Gch1/Il6/Fcgr1/Pde4b/Cd86/Nfkb1/Ccl5/Vamp8/B2m/Tnfaip2/Cxcl10/Vcam1/Tnfaip3,165,-1.5879918609718924,8.388644052177417e-4,0.00349526835507392,0.019239204019353195,TRUE,TRUE
S3,2,3,HALLMARK_TNFA_SIGNALING_VIA_NFKB,176,-0.5345026045146899,-2.3444900938271007,1.3005283564653968e-13,3.251320891163492e-12,1.5058749390651963e-12,Btg1/Gem/Nampt/Nr4a2/Bcl6/Klf4/Vegfa/Btg3/Ninj1/Il1b/Maff/Cdkn1a/Dnajb4/Rcan1/Nfkbie/Rela/Tgif1/Clcf1/Cflar/Areg/Dusp1/Irs2/Rel/Ptgs2/Il18/Plek/Gch1/Il6/Litaf/Ets2/Dennd5a/Pde4b/Cd44/Nfkb2/Marcks/Nfe2l2/Mcl1/Eif1/Nfkb1/Plau/Ccl5/Sat1/Id2/Bcl2a1d/Fosb/Nfil3/B4galt1/Tnfaip2/Nr4a3/Ehd1/Cd83/Abca1/Cxcl10/Cebpb/Ccrl2/Csf1/Nr4a1/Rnf19b/Plaur/Tnfaip3/Kdm6b/Il1a/Trib1,176,-2.376132267377311,1.764069862422095e-13,4.4101746560552366e-12,0.03164217355021037,TRUE,TRUE
S3,2,3,HALLMARK_INFLAMMATORY_RESPONSE,145,-0.4850529902985704,-2.0798644503082486,2.4884135571087357e-8,4.14735592851456e-7,1.9208806405751644e-7,P2ry2/Msr1/Rgs1/Cd48/Osm/Ly6e/Calcrl/Nfkbia/Lcp2/Ahr/Gpr132/Best1/Ccl24/Stab1/Atp2c1/Bst2/Nampt/Cxcl9/Cd82/Ccl7/Il1b/Mefv/Cdkn1a/Selenos/Sri/Ebi3/Rela/Cd14/Emp3/Il10ra/Atp2a2/Il18/Tnfrsf1b/Gch1/Tpbg/Il6/Clec5a/Pde4b/C3ar1/Dcbld2/Lyn/Nfkb1/Cybb/Ccl5/Itga5/Ptafr/Abca1/Cxcl10/Ccrl2/Csf1/Nlrp3/Plaur/Il1a,145,-2.08836754541589,2.4686574972509537e-8,4.1144291620849226e-7,0.008503095107641467,TRUE,TRUE
