dropped_animal,n_surgery,n_control,surgery_mean,control_mean,mean_difference,cohens_d,exact_perm_p
(none),3,3,3.3745643912840535,2.3059907159608053,1.0685736753232482,1.3247486233261767,0.2
C1,3,2,3.3745643912840535,2.339671722485266,1.0348926687987876,1.1125603910747326,NA
C2,3,2,3.3745643912840535,2.3738896293347085,1.000674761949345,1.0801222241288868,NA
C3,3,2,3.3745643912840535,2.204410796062442,1.1701535952216116,1.2715414562772422,NA
S1,2,3,3.5120542360128266,2.3059907159608053,1.2060635200520213,1.3240536089319446,NA
S2,2,3,3.8563753254301916,2.3059907159608053,1.5503846094693863,2.4415084774612774,NA
S3,2,3,2.7552636124091423,2.3059907159608053,0.449272896448337,1.4175006327489885,NA
