outcome_type,outcome,metric,dropped_animal,dropped_source_group,n_exposed,n_control,exposed_mean,control_mean,cohens_d_point_estimate,mean_difference,welch_se,welch_df,ci_level,mean_difference_ci_low,mean_difference_ci_high,sign_matches_full
gene,Zfp36,pseudobulk_log2cpm,S1,Surgery,2,3,11.332760962085992,11.316685344936525,0.17975601660076182,0.01607561714946648,0.0857081092167379,1.9334889396528816,0.95,-0.36512387633370785,0.3972751106326408,True
gene,Zfp36,pseudobulk_log2cpm,S2,Surgery,2,3,11.401546708212914,11.316685344936525,0.638750077420557,0.0848613632763886,0.14773304616889146,1.2438810531252409,0.95,-1.1115533254308212,1.2812760519835984,True
gene,Zfp36,pseudobulk_log2cpm,S3,Surgery,2,3,11.472402187897675,11.316685344936525,1.7625720415528674,0.15571684296114974,0.08400511802496356,1.98477874350782,0.95,-0.20839735111298863,0.5198310370352881,True
gene,Hspa1a,pseudobulk_log2cpm,C1,Control,3,2,8.676792813009042,8.676278088237654,0.0010219082107942848,0.0005147247713885861,0.3805678122631142,2.733749257497048,0.95,-1.2801662132390175,1.2811956627817946,True
gene,Hspa1a,pseudobulk_log2cpm,C2,Control,3,2,8.676792813009042,8.491204694270426,0.3820165384762549,0.18558811873861636,0.3439422376981859,2.0147222497876673,0.95,-1.2839612089274772,1.65513744640471,True
gene,Hspa1a,pseudobulk_log2cpm,C3,Control,3,2,8.676792813009042,8.65543077968822,0.04201104956421692,0.02136203332082154,0.3900177095384633,2.849970592228856,0.95,-1.2576441609286537,1.3003682275702968,True
gene,Hspa1a,pseudobulk_log2cpm,S1,Surgery,2,3,8.34811674105891,8.607637854065432,-1.1961850019087286,-0.2595211130065227,0.20785241824581907,1.935808098924935,0.95,-1.1828666451462118,0.6638244191331665,False
gene,Hspa1a,pseudobulk_log2cpm,S2,Surgery,2,3,8.927010236760708,8.607637854065432,0.8600055011994988,0.3193723826952759,0.4236274674068969,1.1681610723890723,0.95,-3.537212746801093,4.175957512191645,True
gene,Hspa1a,pseudobulk_log2cpm,S3,Surgery,2,3,8.75525146120751,8.607637854065432,0.29474723323238755,0.1476136071420786,0.5906092025671026,1.0825384146730808,0.95,-6.130990071372237,6.426217285656394,True
gene,Hspa1b,pseudobulk_log2cpm,C1,Control,3,2,6.837041086339858,7.5967577976650595,-0.8899080927778361,-0.7597167113252015,0.649068784213098,2.7855745080515804,0.95,-2.9182757490137936,1.3988423263633907,True
gene,Hspa1b,pseudobulk_log2cpm,C2,Control,3,2,6.837041086339858,7.257831207569087,-0.5127841627571865,-0.42079012122922865,0.5815086737738603,2.0260060517431224,0.95,-2.8922937829239572,2.0507135404655,True
gene,Hspa1b,pseudobulk_log2cpm,C3,Control,3,2,6.837041086339858,7.549943405646625,-0.8240118387403886,-0.7129023193067665,0.6714402310319674,2.9189839925846885,0.95,-2.8836711263647117,1.4578664877511787,True
gene,Hspa1b,pseudobulk_log2cpm,S1,Surgery,2,3,6.258111532852336,7.46817747029359,-3.999157130283719,-1.2100659374412537,0.21766958161611533,2.2069036532378363,0.95,-2.0673132950869615,-0.3528185797955461,True
gene,Hspa1b,pseudobulk_log2cpm,S2,Surgery,2,3,7.101990727867032,7.46817747029359,-0.4645046592301271,-0.36618674242655747,0.9177490903447333,1.1142321291079005,0.95,-9.54916655841263,8.816793073559513,True
gene,Hspa1b,pseudobulk_log2cpm,S3,Surgery,2,3,7.151020998300206,7.46817747029359,-0.42204818328059646,-0.3171564719933837,0.8701196326487729,1.128052877364144,0.95,-8.80688769652487,8.172574752538102,True
gene,Socs3,pseudobulk_log2cpm,C1,Control,3,2,10.188879693431595,9.790734327318294,0.7830692472751694,0.398145366113301,0.5013367948923393,1.7615699696669818,0.95,-2.0643588441440373,2.860649576370639,True
gene,Socs3,pseudobulk_log2cpm,C2,Control,3,2,10.188879693431595,9.494941534392815,1.8033716063490042,0.6939381590387796,0.2927039297350106,2.789358266853358,0.95,-0.27866425610779144,1.6665405741853507,True
gene,Socs3,pseudobulk_log2cpm,C3,Control,3,2,10.188879693431595,9.922870094236126,0.6027635830865656,0.26600959919546874,0.3945999314875867,2.428957207421807,0.95,-1.1745088486159576,1.706528047006895,True
gene,Socs3,pseudobulk_log2cpm,S1,Surgery,2,3,9.976935795604026,9.736181985315746,0.5761295516767659,0.2407538102882807,0.3659282034300171,2.5861226568198634,0.95,-1.036667478856753,1.5181750994333143,True
gene,Socs3,pseudobulk_log2cpm,S2,Surgery,2,3,10.162671328691044,9.736181985315746,0.8314856509719768,0.4264893433752981,0.5163365785971656,1.649495387569322,0.95,-2.314908007354442,3.167886694105038,True
gene,Socs3,pseudobulk_log2cpm,S3,Surgery,2,3,10.427031955999714,9.736181985315746,1.7776606511716069,0.6908499706839688,0.3138703506953223,2.9961741558348627,0.95,-0.3087475176071358,1.6904474589750733,True
panel,author_selected_isg7,pseudobulk_log2cpm,C1,Control,3,2,3.3745643912840535,2.339671722485266,1.1125603910747328,1.0348926687987876,0.6721424951959621,2.259963196573466,0.95,-1.5605787999738783,3.6303641375714535,True
panel,author_selected_isg7,pseudobulk_log2cpm,C2,Control,3,2,3.3745643912840535,2.3738896293347085,1.080122224128887,1.000674761949345,0.6643402570503204,2.1686145952122136,0.95,-1.654987026458055,3.656336550356745,True
panel,author_selected_isg7,pseudobulk_log2cpm,C3,Control,3,2,3.3745643912840535,2.204410796062442,1.2715414562772425,1.1701535952216116,0.6513242848766522,2.011055148684957,0.95,-1.6175573572651971,3.95786454770842,True
panel,author_selected_isg7,pseudobulk_log2cpm,S1,Surgery,2,3,3.512054236012827,2.3059907159608053,1.3240536089319455,1.2060635200520218,1.1059637304458765,1.0177030349195118,0.95,-12.281846398457137,14.69397343856118,True
