selection,n_cells,n_genes,panel,panel_genes,sweep,seed,ctrl_size,n_bins,mean_difference,mean_difference_ci_low,mean_difference_ci_high,welch_df,cohens_d,exact_perm_p,mean_difference_without_s3,cohens_d_without_s3,sign_preserved_without_s3,surgery_values,control_values
predicted_doublet_false,7371,27933,core_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,seed_sweep,12,50,25,0.04681116248112749,-0.18033067365508323,0.27395299861733824,2.051268401067116,0.7069400652139312,0.8,-0.006583259498337858,-0.5481211923112811,False,S1:-0.036646182;S2:-0.057178025;S3:0.11327116,C1:-0.049996893;C2:-0.029100374;C3:-0.041889264
predicted_doublet_false,7371,27933,core_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,seed_sweep,13,50,25,0.04726062448139552,-0.18228309123270792,0.276804340195499,2.050530482029807,0.7064952045158914,0.8,-0.006739023545924351,-0.58092855883809,False,S1:-0.038541659;S2:-0.057535262;S3:0.11396048,C1:-0.051461674;C2:-0.030369167;C3:-0.042067469
predicted_doublet_false,7371,27933,core_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,seed_sweep,14,50,25,0.04723230693081518,-0.1825382565349139,0.27700287039654425,2.0511340865607433,0.705182343630285,0.8,-0.006880471974982427,-0.6149886183719221,False,S1:-0.041324976;S2:-0.058586183;S3:0.11238276,C1:-0.053207172;C2:-0.031986242;C3:-0.044031908
predicted_doublet_false,7371,27933,core_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,seed_sweep,15,50,25,0.0453283829510803,-0.18013853628344434,0.27079530218560494,2.0535283329687717,0.6889294923844074,0.8,-0.007805518531441104,-0.6964188783181401,False,S1:-0.03919146;S2:-0.056405225;S3:0.11160336,C1:-0.05015337;C2:-0.028835904;C3:-0.040989198
predicted_doublet_false,7371,27933,core_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,seed_sweep,16,50,25,0.0443867621047195,-0.17947897105621421,0.2682524952656532,2.0429872790424275,0.6826983468074233,0.8,-0.008221497638220901,-0.8182219656383406,False,S1:-0.040967921;S2:-0.056657686;S3:0.10901198,C1:-0.049796802;C2:-0.030855768;C3:-0.041121346
predicted_doublet_false,7371,27933,core_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,seed_sweep,17,50,25,0.04647102924259869,-0.17512319953658842,0.2680652580217858,2.052669064605647,0.7189182371631483,0.8,-0.005762414622469236,-0.5385720344891847,False,S1:-0.038956303;S2:-0.054842537;S3:0.10980091,C1:-0.050775261;C2:-0.03007675;C3:-0.042559007
predicted_doublet_false,7371,27933,core_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,seed_sweep,18,50,25,0.046696732273887265,-0.18043507375990941,0.27382853830768394,2.055821348258738,0.7037974128838307,0.8,-0.006829783441694291,-0.5781918950741491,False,S1:-0.040536845;S2:-0.059308453;S3:0.1106569,C1:-0.053668984;C2:-0.031696445;C3:-0.043913167
predicted_doublet_false,7371,27933,core_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,seed_sweep,19,50,25,0.04636509812614854,-0.1816100474056518,0.2743402436579489,2.0470362036265133,0.6989828040849855,0.8,-0.007205585498087967,-0.6394278375251591,False,S1:-0.040049335;S2:-0.058831099;S3:0.11127183,C1:-0.051862557;C2:-0.031696382;C3:-0.043144955
predicted_doublet_false,7371,27933,core_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,control_size_sweep,42,25,25,0.04597365729160293,-0.1749457339043227,0.26689304848752854,2.0552601294675417,0.7125641178703418,0.8,-0.006125615656991983,-0.5556459165462003,False,S1:-0.039163724;S2:-0.055757075;S3:0.10883742,C1:-0.051745653;C2:-0.030456711;C3:-0.041801987
predicted_doublet_false,7371,27933,core_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,control_size_sweep,42,50,25,0.04649471117813342,-0.1766248419246236,0.2696142642808904,2.0546913450620976,0.7137166150596257,0.8,-0.00608966251040171,-0.5378878025588492,False,S1:-0.039026709;S2:-0.05666268;S3:0.10990843,C1:-0.052213813;C2:-0.030827752;C3:-0.042223531
