partition,submitted_trace_label,oxygen_control_mean_percent,combined_exposure_mean_percent,difference_percentage_points,ci95_low,ci95_high,cohens_d,exact_permutation_p,n_permutations,perfect_separation
0,Inflammatory,22.447750641261766,24.764229846987103,2.3164792057253365,-28.78251253224279,33.415470943693464,0.17475279415587372,0.7,20,FALSE
1,Transitional-A,14.777119324275372,20.906997525237685,6.129878200962313,-11.292843438221123,23.55259984014575,0.974738987707291,0.3,20,FALSE
2,Homeostatic-A,19.575788883778948,16.997488289014324,-2.578300594764624,-24.481900395049287,19.32529920552004,-0.3658514772344161,0.9,20,FALSE
3,Homeostatic-B,16.391714843144307,16.09539960756812,-0.2963152355761878,-11.025452847540569,10.432822376388193,-0.06318711829275311,0.9,20,FALSE
4,Homeostatic-C,17.28924678635117,13.778430875610253,-3.5108159107409183,-30.088910164666913,23.06727834318508,-0.3470638900673922,0.7,20,FALSE
5,Transitional-B,9.518379521188434,7.4574538555825125,-2.0609256656059216,-5.568407499020394,1.4465561678085508,-1.3376783509599088,0.3,20,FALSE
