estimand,contrast,ensembl,symbol,baseMean,log2FoldChange,lfcSE,ci95_low,ci95_high,stat,pvalue,padj,direction,feature_universe,symbol_mapping,estimand_note
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000022708,Zbtb20,113.72590016531831,-0.057172646348585876,0.3584564814840083,-0.7597344400821907,0.645389147385019,-0.1594967570732474,0.8732775130946542,0.9785114377805103,More positive in source-labelled control,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000022710,Usp7,37.78764651714584,0.1735441182359297,0.2812402316764393,-0.377676606853592,0.7247648433254514,0.6170671855923813,0.5371904116511681,0.8915211217610812,More positive in combined exposure,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000022711,Pmm2,43.98235631288134,0.3306375684588653,0.37713627929878324,-0.4085359562301883,1.069811093147919,0.8767058132769039,0.3806464484257557,0.8317510060245272,More positive in combined exposure,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000022718,Dgcr8,21.331223311325353,-0.03792892818979314,0.30387461873583704,-0.6335122367278738,0.5576543803482876,-0.1248176907554275,0.900667881722888,0.9866424384034763,More positive in source-labelled control,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000022721,Trmt2a,79.86150006222347,-0.1721603326279429,0.29290783037695,-0.746249130956532,0.40192846570064616,-0.587762820838165,0.5566915025215566,0.8987167095948405,More positive in source-labelled control,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000022722,Arl6,1.9065322771250857,0.007260301093741781,0.7425563056890574,-1.448123314549925,1.4626439167374086,0.009777441842614969,0.9921988544059601,NA,More positive in combined exposure,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000022723,Crybg3,26.089882771255727,0.48321068603888995,0.3305591661121143,-0.16467337430044693,1.1310947463782268,1.461797873349552,0.14379660706299405,0.7096718031090496,More positive in combined exposure,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000022724,Riox2,19.588648128164458,0.1961926309355068,0.29784569607585853,-0.38757420632343864,0.7799594681944522,0.6587056100536647,0.5100848297843645,0.8820089732092722,More positive in combined exposure,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000022742,Cpox,40.216495763475486,0.07303812821562006,0.3815651651058127,-0.6748158531468519,0.820892109578092,0.19141718085131199,0.8481987605607736,0.9741771028203944,More positive in combined exposure,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000022744,Cldnd1,34.6945996224344,-4.909102703899875e-4,0.36243925295125107,-0.7108587926384443,0.7098769720976644,-0.0013544622068184654,0.9989192958474261,0.9995222393126683,More positive in source-labelled control,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
