estimand,contrast,ensembl,symbol,baseMean,log2FoldChange,lfcSE,ci95_low,ci95_high,stat,pvalue,padj,direction,feature_universe,symbol_mapping,estimand_note
time_by_treatment,(48 h exposure − 48 h control) − (6 h exposure − 6 h control),ENSMUSG00000045268,Zfp691,45.8475752884044,-0.2562517183727025,0.29676513356614054,-0.8379006920295564,0.3253972552841515,-0.8634832377152933,0.3878718316535749,0.8113194730433041,Treatment contrast more positive in deposited 6 h experiment,"30,280 shared Ensembl features with >=10 total counts across all 32 old animals",org.Mm.eg.db 3.22.0; multiVals=first,Positive interaction = treatment contrast more positive in the deposited 48 h than 6 h experiment; not within-animal change
time_by_treatment,(48 h exposure − 48 h control) − (6 h exposure − 6 h control),ENSMUSG00000045273,Cenph,2.5997037951634163,0.6377926166643785,0.8800129654740059,-1.0870011015929624,2.3625863349217195,0.7247536589655142,0.46860316978645117,NA,Treatment contrast more positive in deposited 48 h experiment,"30,280 shared Ensembl features with >=10 total counts across all 32 old animals",org.Mm.eg.db 3.22.0; multiVals=first,Positive interaction = treatment contrast more positive in the deposited 48 h than 6 h experiment; not within-animal change
time_by_treatment,(48 h exposure − 48 h control) − (6 h exposure − 6 h control),ENSMUSG00000045275,Lca5l,4.334536732813563,-0.1799625950271469,0.6541187917470646,-1.462011868462249,1.1020866784079553,-0.2751221907973178,0.7832223634039831,NA,Treatment contrast more positive in deposited 6 h experiment,"30,280 shared Ensembl features with >=10 total counts across all 32 old animals",org.Mm.eg.db 3.22.0; multiVals=first,Positive interaction = treatment contrast more positive in the deposited 48 h than 6 h experiment; not within-animal change
time_by_treatment,(48 h exposure − 48 h control) − (6 h exposure − 6 h control),ENSMUSG00000045281,Gpr20,0.9725856844730415,0.5876394907535308,1.3952961306300393,-2.1470906730494397,3.3223696545565016,0.4211575434443332,0.6736400445831949,NA,Treatment contrast more positive in deposited 48 h experiment,"30,280 shared Ensembl features with >=10 total counts across all 32 old animals",org.Mm.eg.db 3.22.0; multiVals=first,Positive interaction = treatment contrast more positive in the deposited 48 h than 6 h experiment; not within-animal change
time_by_treatment,(48 h exposure − 48 h control) − (6 h exposure − 6 h control),ENSMUSG00000045282,Tmem86b,7.167570509930678,-0.2652457916953163,0.5902150418743104,-1.4220460169027642,0.8915544335121315,-0.4494053402180182,0.6531392796958103,NA,Treatment contrast more positive in deposited 6 h experiment,"30,280 shared Ensembl features with >=10 total counts across all 32 old animals",org.Mm.eg.db 3.22.0; multiVals=first,Positive interaction = treatment contrast more positive in the deposited 48 h than 6 h experiment; not within-animal change
time_by_treatment,(48 h exposure − 48 h control) − (6 h exposure − 6 h control),ENSMUSG00000045284,Dcaf12l1,0.38679579625704436,1.5268662792411316,2.7811828516661774,-3.9241519444449775,6.977884502927241,0.5489988830926388,0.583006216320415,NA,Treatment contrast more positive in deposited 48 h experiment,"30,280 shared Ensembl features with >=10 total counts across all 32 old animals",org.Mm.eg.db 3.22.0; multiVals=first,Positive interaction = treatment contrast more positive in the deposited 48 h than 6 h experiment; not within-animal change
time_by_treatment,(48 h exposure − 48 h control) − (6 h exposure − 6 h control),ENSMUSG00000045287,Rtn4rl1,87.49311951187426,0.936092925791504,0.3020449406850766,0.34409572033621727,1.528090131246791,3.0991842593632772,0.0019405429245728434,0.1951918104247559,Treatment contrast more positive in deposited 48 h experiment,"30,280 shared Ensembl features with >=10 total counts across all 32 old animals",org.Mm.eg.db 3.22.0; multiVals=first,Positive interaction = treatment contrast more positive in the deposited 48 h than 6 h experiment; not within-animal change
time_by_treatment,(48 h exposure − 48 h control) − (6 h exposure − 6 h control),ENSMUSG00000045288,Ush1g,0.5288332985151947,-3.7261748331269917,1.8778702931582434,-7.406732975354821,-0.04561669089916265,-1.9842557000357193,0.047227341985589505,NA,Treatment contrast more positive in deposited 6 h experiment,"30,280 shared Ensembl features with >=10 total counts across all 32 old animals",org.Mm.eg.db 3.22.0; multiVals=first,Positive interaction = treatment contrast more positive in the deposited 48 h than 6 h experiment; not within-animal change
time_by_treatment,(48 h exposure − 48 h control) − (6 h exposure − 6 h control),ENSMUSG00000045291,Ube2q2l,0.24173825554121134,0.7263352267961816,3.2055529282692543,-5.556433063148462,7.009103516740825,0.22658656495444152,0.8207452402131636,NA,Treatment contrast more positive in deposited 48 h experiment,"30,280 shared Ensembl features with >=10 total counts across all 32 old animals",org.Mm.eg.db 3.22.0; multiVals=first,Positive interaction = treatment contrast more positive in the deposited 48 h than 6 h experiment; not within-animal change
time_by_treatment,(48 h exposure − 48 h control) − (6 h exposure − 6 h control),ENSMUSG00000045294,Insig1,13.103036977147223,-0.002855468868520964,0.4316162055279743,-0.8488076868471881,0.8430967491101462,-0.006615759167402004,0.9947214264080398,NA,Treatment contrast more positive in deposited 6 h experiment,"30,280 shared Ensembl features with >=10 total counts across all 32 old animals",org.Mm.eg.db 3.22.0; multiVals=first,Positive interaction = treatment contrast more positive in the deposited 48 h than 6 h experiment; not within-animal change
