outcome_type,outcome,n_combined_exposure,n_oxygen_control,combined_exposure_mean,oxygen_control_mean,mean_difference,mean_difference_ci95_low,mean_difference_ci95_high,cohens_d,exact_permutation_p,perfect_group_separation,deseq2_log2_fold_change,deseq2_ci95_low,deseq2_ci95_high,deseq2_wald_statistic,deseq2_p_value,deseq2_adjusted_p_value
gene,Irf7,3,3,3.675359940742555,2.536607921016485,1.1387520197260699,-2.558541081349739,4.836045120801879,1.0724464240869325,0.4,FALSE,1.6342935867892807,-0.08991350492894878,3.35850067850751,1.8577904275494423,0.06319878102357256,NA
gene,Ifitm3,3,3,5.352391577871177,4.456653531639148,0.8957380462320286,-3.090738771387011,4.882214863851068,0.6629104102561197,0.6,FALSE,1.5666930166121291,-0.5557608208542333,3.689146854078492,1.446777432024332,0.14795926945808371,0.8030003690384859
gene,Isg15,3,3,5.014197405375247,4.402984023573457,0.6112133818017904,-1.8363537880021354,3.0587805516057163,0.7287176350288997,0.6,FALSE,0.845979139688111,-0.6106667640127134,2.3026250433889355,1.13831309968744,0.2549897659323577,0.899845008697543
gene,Mx1,3,3,1.9623693807156486,0.5971602687047667,1.365209112010882,-0.03380886899724689,2.764227093019011,2.286746660367996,0.1,TRUE,1.3732402685906129,0.3454745999289013,2.4010059372523243,2.618837161531539,0.00882300532978005,NA
gene,Ifit1,3,3,1.7759765557320073,0.3812428047103824,1.394733751021625,-1.6110195727677024,4.400487074810952,1.169285253779402,0.3,FALSE,1.6811334650296177,0.3486390025951751,3.01362792746406,2.4728219773897653,0.0134050900036378,NA
gene,Ifit2,3,3,2.3317347607777896,1.0734413683060582,1.2582933924717314,0.5274317733378792,1.9891550116055838,4.063873094851971,0.1,TRUE,1.222021945783385,0.4099892891125799,2.03405460245419,2.949589519656997,0.00318196375785214,NA
gene,Ifit3,3,3,3.5099211177739513,2.693845093775341,0.8160760239986105,-1.7908933202253623,3.423045368222583,0.9313022537933789,0.5,FALSE,1.109993762190287,-0.39981076688307127,2.6197982912636446,1.4409731405615984,0.149592271068627,NA
panel,author_selected_isg7,3,3,3.3745643912840535,2.3059907159608053,1.0685736753232482,-1.6383376896954465,3.775485040341943,1.3247486233261767,0.2,FALSE,NA,NA,NA,NA,NA,NA
